depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected
16,0.342709482,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,13,0.070696481,0.970677555,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
17,0.332709491,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,11,0.080788389,0.971646905,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
18,0.322709501,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,13,0.096404284,0.973343253,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
19,0.312709481,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,15,0.063587561,0.969966710,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
20,0.302709490,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,15,0.088044316,0.972276986,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
21,0.292709500,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,13,0.070696481,0.970677555,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
22,0.282709479,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,13,0.038561713,0.968011916,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
23,0.272709489,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,11,0.044882435,0.968496561,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
24,0.262709498,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,11,0.080788389,0.971646905,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
25,0.252709478,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,11,0.080788389,0.971646905,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
26,0.242709488,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,13,0.038561713,0.968011916,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
27,0.232709497,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,13,0.070696481,0.970677555,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
28,0.222709492,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,15,0.063587561,0.969966710,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
29,0.212709486,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,15,0.088044316,0.972276986,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
30,0.202709496,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,13,0.096404284,0.973343253,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
31,0.192709491,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,15,0.063587561,0.969966710,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
32,0.182709485,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,15,0.063587561,0.969966710,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
33,0.172709495,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,15,0.063587561,0.969966710,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
34,0.162709489,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,12,0.044781160,0.968234062,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
35,0.152709484,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,14,0.038882345,0.967821479,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
36,0.142709494,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,15,0.063587561,0.969966710,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
37,0.132709488,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,11,0.080788389,0.971646905,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
38,0.122709490,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,13,0.070696481,0.970677555,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
39,0.112709492,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,13,0.038561713,0.968011916,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
40,0.102709487,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,16,0.089307882,0.971843779,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
41,0.092709489,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,13,0.096404284,0.973343253,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
42,0.082709491,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,13,0.070696481,0.970677555,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
43,0.072709493,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,13,0.070696481,0.970677555,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
44,0.062709488,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,15,0.034239456,0.967656493,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
45,0.052709490,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,15,0.034239456,0.967656493,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
46,0.042709492,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,13,0.038561713,0.968011916,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
47,0.032709491,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,11,0.091188863,0.971646905,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
48,0.022709491,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,11,0.044882435,0.968496561,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
49,0.012709491,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,13,0.096404284,0.973343253,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
50,0.002709491,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,15,0.088044316,0.972276986,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
51,0.000000000,-0.002709491,0.140000001,1.000000000,1.000000000,2,1.087712526,15,0.088044316,0.972276986,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
