case_id,category,input_len,input_hash_prefix
A-001,A,49,3246ddc8
A-002,A,48,579ec1df
A-003,A,48,443459b3
A-004,A,49,7a2e9743
A-005,A,48,18fa0a50
A-006,A,48,b4508af1
A-007,A,35,05b76425
A-008,A,49,cef09984
A-009,A,37,d930264e
A-010,A,38,2aa2e03c
A-011,A,38,53ad514d
A-012,A,50,08cb5c05
A-013,A,49,0274dff1
A-014,A,38,b45c3d69
A-015,A,41,22997efa
A-016,A,38,9de0ff9a
A-017,A,38,86adcb84
A-018,A,38,ba1fa1e6
A-019,A,41,9af68999
A-020,A,38,2500520f
B-001,B,34,61362397
B-002,B,41,bd8f5ca6
B-003,B,37,29f551b8
B-004,B,34,c5475b84
B-005,B,37,a681c9de
B-006,B,45,761ea1bc
B-007,B,45,c954524d
B-008,B,37,ac2ba86a
B-009,B,42,37557815
B-010,B,40,da57bd18
B-011,B,42,c2ebee82
B-012,B,46,991b96b6
B-013,B,38,a4ce3e14
B-014,B,46,f0e60edf
B-015,B,43,11df0a7a
B-016,B,46,7bb6f825
B-017,B,40,1651e5f6
B-018,B,43,7dd23ad8
B-019,B,40,fbad3951
B-020,B,43,d2a4d740
B-021,B,42,a49ebaef
B-022,B,43,b3c052ed
B-023,B,38,e375ca69
B-024,B,42,1b485a80
B-025,B,38,b7488bff
C-001,C,34,90910418
C-002,C,34,e4b5a9a8
C-003,C,39,4d8319fa
C-004,C,45,0f21cc4e
C-005,C,39,f8ad1d45
C-006,C,39,75a2fcb8
C-007,C,34,71643ccc
C-008,C,43,41a92b26
C-009,C,43,514e5821
C-010,C,45,9de6b4d6
C-011,C,35,041a7b1a
C-012,C,35,db23be5b
C-013,C,35,4d27c726
C-014,C,46,2343b56a
C-015,C,45,8b035830
C-016,C,35,47f89b46
C-017,C,40,786f2d00
C-018,C,35,6ff1e88d
C-019,C,35,54a22651
C-020,C,40,bad9dcea
D-001,D,39,c29a6050
D-002,D,40,219f216e
D-003,D,39,ae34eb89
D-004,D,39,387e5985
D-005,D,37,b83c3aa7
D-006,D,38,c5f5fcdb
D-007,D,38,22c16512
D-008,D,37,0d5981d5
D-009,D,34,15a9ed94
D-010,D,40,2ba1c891
D-011,D,38,1407017f
D-012,D,39,a5a26be9
D-013,D,40,0ce6aced
D-014,D,40,859bb171
D-015,D,38,a3932760
E-001,E,37,30efdf24
E-002,E,37,a79106d4
E-003,E,37,7bc9dfa2
E-004,E,37,c327d9fb
E-005,E,38,e96270b8
E-006,E,38,76e14e73
E-007,E,38,63bbd9cd
E-008,E,38,a3f11e62
E-009,E,39,7fad8302
E-010,E,39,b05b0f00
F-001,F,36,1e035fa0
F-002,F,33,f8cd8eb1
F-003,F,36,3f939385
F-004,F,33,02dd294f
F-005,F,39,aa583c49
F-006,F,36,f2166add
F-007,F,33,305ce960
F-008,F,39,be5d2fbf
F-009,F,41,06ed06c1
F-010,F,37,aeba72a4
