crate,file,modified,deps_count,features_count,target_id,profile_id
futures-util,lib-futures_util.json,2026-01-25 18:31:54,7,54,1788798584831431502,336243669335521001
compact_str,lib-compact_str.json,2026-01-25 18:49:39,5,2,12681387934967326413,8276155916380437441
idna_adapter,lib-idna_adapter.json,2026-01-25 18:49:42,2,17,9682399050268992880,8276155916380437441
proc-macro2,build-script-build-script-build.json,2026-01-25 18:31:53,0,25,5408242616063297496,3033921117576893
httpdate,lib-httpdate.json,2026-01-25 18:36:08,0,2,12509520342503990962,5347358027863023418
time,lib-time.json,2026-01-25 22:08:12,8,67,8476133839300368761,14638957158798425657
serde_derive,lib-serde_derive.json,2026-01-25 18:49:40,3,11,13076129734743110817,3033921117576893
itoa,lib-itoa.json,2026-01-25 17:08:53,0,2,18426369533666673425,5347358027863023418
fnv,lib-fnv.json,2026-01-25 18:36:06,0,18,10248144769085601448,5347358027863023418
futures-core,lib-futures_core.json,2026-01-25 18:31:53,0,27,9453135960607436725,336243669335521001
num_threads,lib-num_threads.json,2026-01-25 22:08:11,1,2,9742534077697843481,8276155916380437441
socket2,lib-socket2.json,2026-01-25 18:36:08,1,7,2270514485357617025,5347358027863023418
reqwest,lib-reqwest.json,2026-01-25 18:31:59,27,122,16585426341985349207,8276155916380437441
form_urlencoded,lib-form_urlencoded.json,2026-01-25 18:31:54,1,27,6496257856677244489,8276155916380437441
ipnet,lib-ipnet.json,2026-01-25 18:31:55,0,18,2684928858108222948,8276155916380437441
httparse,lib-httparse.json,2026-01-25 18:36:07,1,18,2257539891522735522,9103622579043914327
idna,lib-idna.json,2026-01-25 18:31:58,3,33,2602963282308965300,8276155916380437441
quote,build-script-build-script-build.json,2026-01-25 18:31:53,0,25,5408242616063297496,3033921117576893
potential_utf,lib-potential_utf.json,2026-01-25 18:36:07,1,11,16089386906944150126,5347358027863023418
serde_derive,lib-serde_derive.json,2026-01-25 17:08:58,3,11,13076129734743110817,3033921117576893
try-lock,lib-try_lock.json,2026-01-25 18:31:54,0,2,6156168532037231327,8276155916380437441
sync_wrapper,lib-sync_wrapper.json,2026-01-25 18:31:55,0,2,1703982665153516621,8276155916380437441
icu_locale_core,lib-icu_locale_core.json,2026-01-25 18:49:42,5,11,7234736894702847895,8276155916380437441
displaydoc,lib-displaydoc.json,2026-01-25 18:31:56,3,2,9331843185013996172,3033921117576893
utf8_iter,lib-utf8_iter.json,2026-01-25 18:36:07,0,2,6216520282702351879,5347358027863023418
idna_adapter,lib-idna_adapter.json,2026-01-25 18:31:58,2,17,9682399050268992880,8276155916380437441
indexmap,lib-indexmap.json,2026-01-25 18:36:07,2,18,10391229881554802429,5199701822156178865
crossterm,lib-crossterm.json,2026-01-25 19:02:23,6,51,7162149947039624270,5347358027863023418
icu_properties,lib-icu_properties.json,2026-01-25 19:02:24,6,17,12882061015678277883,5347358027863023418
cfg-if,lib-cfg_if.json,2026-01-25 18:36:06,0,2,13840298032947503755,5347358027863023418
zerovec-derive,lib-zerovec_derive.json,2026-01-25 18:49:39,3,2,14030368369369144574,3033921117576893
h2,lib-h2.json,2026-01-25 18:31:57,11,2,15383560931896426848,7103650835353764149
hashbrown,lib-hashbrown.json,2026-01-25 18:36:07,0,2,13796197676120832388,5347358027863023418
futures-channel,lib-futures_channel.json,2026-01-25 18:31:54,1,27,13634065851578929263,336243669335521001
futures-channel,lib-futures_channel.json,2026-01-25 18:36:07,1,27,13634065851578929263,17669703692130904899
tempfile,lib-tempfile.json,2026-01-25 18:36:08,4,24,44311651032485388,5347358027863023418
icu_normalizer_data,build-script-build-script-build.json,2026-01-25 18:31:53,0,2,5408242616063297496,12587308339056959103
system-configuration-sys,lib-system_configuration_sys.json,2026-01-25 18:36:08,3,2,8517095135847510326,5347358027863023418
core-foundation-sys,lib-core_foundation_sys.json,2026-01-25 18:31:53,0,19,18224550799097559944,8276155916380437441
tinystr,lib-tinystr.json,2026-01-25 18:31:58,2,11,161691779326313357,8276155916380437441
once_cell,lib-once_cell.json,2026-01-25 18:31:53,0,35,17524666916136250164,8276155916380437441
serde_json,run-build-script-build-script-build.json,2026-01-25 17:08:57,1,0,0,0
serde_json,lib-serde_json.json,2026-01-25 17:08:58,5,18,9592559880233824070,5347358027863023418
