depth,n,var_o1,var_o2,unique_level_count_o1,unique_level_count_o2,mad0_o1,mad0_o2
1,15,7.965290023102559e-05,0.0019467950516263318,4,4,1,1
2,127,8.417418147964527e-05,0.005082523884390831,11,11,0,0
3,128,0.00013857251616407695,0.012650101477413439,21,21,0,0
4,126,0.00023069953391856277,0.02404650079822041,21,22,0,0
5,121,0.01602409573786868,0.033586678787547036,22,23,0,0
6,100,0.0459655904482889,0.05626875445626051,15,16,0,0
7,101,0.11216507604042278,0.06336448494623267,18,19,0,0
8,97,0.14330275657343555,0.07740423251528859,14,14,0,0
9,103,0.14519739958380876,0.07313222767749548,16,17,0,0
10,98,0.16333094912902474,0.09442226294752928,11,12,0,0
11,101,0.1596131982962946,0.09675201848891009,12,13,0,0
12,101,0.15970396973559994,0.0975092671523265,12,13,0,0
13,101,0.15976831377155692,0.0971933867451195,12,13,0,0
14,99,0.15999610858966723,0.09783726787806313,12,13,0,0
15,101,0.15461048459727325,0.09459716107961189,13,13,0,0
16,101,0.15463772855795707,0.09304962890491704,13,13,0,0
17,101,0.15463772855795707,0.09304962890491704,13,13,0,0
18,101,0.15464968763783787,0.09442191076582604,13,13,0,0
19,101,0.15464968763783787,0.09442191076582604,13,13,0,0
20,113,0.1637237318506132,0.09734929293501929,16,16,0,0
21,104,0.1497368777553879,0.09087299225259925,17,17,0,0
22,104,0.14944945652649855,0.09173255066631897,17,17,0,0
23,102,0.15046313064783687,0.09274899120329343,17,17,0,0
24,102,0.15026820565375792,0.09069186809854181,17,17,0,0
25,102,0.15010306838923768,0.0903101181880851,17,17,0,0
26,104,0.14909478277050697,0.0893317358553939,17,17,0,0
27,104,0.14894688507020268,0.0905755412419993,17,17,0,0
28,104,0.14885106523985261,0.08879542704079743,17,17,0,0
29,102,0.14974622866586923,0.09112819850230913,17,17,0,0
30,102,0.1496780243459603,0.08939205759206464,17,17,0,0
31,100,0.15078732103790243,0.09058560919367055,17,17,0,0
32,102,0.14977108037898143,0.08958380574629347,17,17,0,0
33,100,0.15090900815873334,0.0894278054526515,17,17,0,0
34,100,0.15090900815873334,0.0894278054526515,17,17,0,0
35,102,0.15000738309236608,0.08869381004217085,17,17,0,0
36,100,0.15089940726247328,0.08918975532203852,17,17,0,0
37,98,0.15194870250395254,0.08880279571861778,17,17,0,0
38,100,0.15102479887886325,0.08968299682898619,17,17,0,0
39,98,0.15206594522850908,0.08906409178101093,17,17,0,0
40,98,0.15194870250395254,0.08880279571861778,17,17,0,0
41,98,0.1519359504000347,0.0904498694521437,17,17,0,0
42,98,0.15194870250395254,0.08880279571861778,17,17,0,0
43,100,0.1510526336063276,0.088094997042915,17,17,0,0
44,100,0.15117728369699282,0.08838067517641444,17,17,0,0
45,98,0.15220667161326096,0.08938711418874909,17,17,0,0
46,98,0.15208042376883393,0.08909625676013391,17,17,0,0
47,100,0.1510526336063276,0.088094997042915,17,17,0,0
48,100,0.15102552586135812,0.0913167344545987,17,17,0,0
49,102,0.15001115056958877,0.08849078674553737,17,17,0,0
50,102,0.15002150243539378,0.08872467790823917,17,17,0,0
