depth,n,var_o1,var_o2,unique_level_count_o1,unique_level_count_o2,mad0_o1,mad0_o2
1,15,7.965290023102559e-05,0.0019467950516263318,4,4,1,1
2,78,0.00010346721553331062,0.005924362544962764,11,11,0,0
3,80,0.00015734244074144232,0.01630979795162343,16,16,0,0
4,81,0.00020089322396404328,0.020088643291103388,19,19,0,0
5,79,0.0005573986251276226,0.02997999141316334,15,16,0,0
6,72,0.04943318616832737,0.04856061453446177,13,14,0,0
7,60,0.06150765254190052,0.07624399097467871,12,12,0,0
8,53,0.1585144127043919,0.0847242318519675,8,8,0,0
9,57,0.15214030537683884,0.0850518941462116,9,9,0,0
10,58,0.15182907864496664,0.0820732922861309,10,10,0,0
11,60,0.15399306254219972,0.07616259385529198,10,10,0,0
12,64,0.15725645178126657,0.0816341637025793,11,11,0,0
13,66,0.15907678867993502,0.08152168693514443,12,12,0,0
14,65,0.15968999788746024,0.08145191494555162,13,13,0,0
15,64,0.15760449963849393,0.07485978238548321,13,13,0,0
16,65,0.15863352069758202,0.07373387749735331,12,12,0,0
17,66,0.15874492590251402,0.07453984725184884,12,12,0,0
18,65,0.15909665029297404,0.07419123525195088,13,13,0,0
19,66,0.15910676939147392,0.07553488369036586,12,12,0,0
20,66,0.1592227755964721,0.07545154654910798,12,12,0,0
21,66,0.15944875860864138,0.07693815210325991,12,12,0,0
22,66,0.15959498707433306,0.07829272580968098,12,12,0,0
23,66,0.15969362088274477,0.07950949620651848,12,12,0,0
24,66,0.15929329373968223,0.07496155678311198,12,12,0,0
25,66,0.15942392624839472,0.0761184757457369,12,12,0,0
26,66,0.15951931944353615,0.07719360947525014,12,12,0,0
27,66,0.15918797730574283,0.07368848044075878,12,12,0,0
28,66,0.15911299472956325,0.07275966084780569,13,13,0,0
29,66,0.1595128492141406,0.07561560763661115,13,13,0,0
30,66,0.15960797140180194,0.07686549582020169,12,12,0,0
31,66,0.15967380016296176,0.07788900006004511,12,12,0,0
32,66,0.15972309811082505,0.07882709424314639,12,12,0,0
33,66,0.15976045161952293,0.07968585577992801,12,12,0,0
34,66,0.15978898394748575,0.08047208772357889,12,12,0,0
35,66,0.15981088157609685,0.08119261107364496,12,12,0,0
36,66,0.15982771132164375,0.08185390465899792,12,12,0,0
37,66,0.15984061862261736,0.08246194062335659,12,12,0,0
38,66,0.1596868384671868,0.07934864995678144,12,12,0,0
39,66,0.15970870446921742,0.07999102419644348,12,12,0,0
40,66,0.15955645556081693,0.07727436292727086,12,12,0,0
41,66,0.15939235989190725,0.07489331378143928,12,12,0,0
42,66,0.15921474991490558,0.07285175711055324,12,12,0,0
43,66,0.15902153591220503,0.07113892695883178,12,12,0,0
44,66,0.15909733370671497,0.07174904320634577,12,12,0,0
45,66,0.15890638342741628,0.0702867627761043,12,12,0,0
46,66,0.15882061653776214,0.06961192602645774,13,13,0,0
47,66,0.158925261064737,0.07023687814678414,12,12,0,0
48,66,0.1587156835073418,0.06904173318517662,12,12,0,0
49,66,0.15881679013055794,0.06954145785477933,12,12,0,0
50,66,0.1587230589228166,0.06893659032286056,13,13,0,0
