depth,n,var_o1,var_o2,unique_level_count_o1,unique_level_count_o2,mad0_o1,mad0_o2
1,15,7.965290023102559e-05,0.0019467950516263318,4,4,1,1
2,194,7.68180757324847e-05,0.004585577206112842,11,11,0,0
3,192,0.00015885205611579123,0.010668743740686791,24,24,0,0
4,190,0.00019595315930307983,0.01749656642168317,31,32,0,0
5,186,0.01064179959075015,0.031095960103146632,31,32,0,0
6,166,0.02927133889034858,0.03739480998946043,26,27,0,0
7,161,0.078291636077696,0.051696430674693976,25,25,0,0
8,163,0.10673134909259255,0.051065186971866246,24,25,0,0
9,159,0.1299606698041894,0.06683790856297385,21,22,0,0
10,162,0.1357436580558619,0.06799250778026439,22,23,0,0
11,164,0.14954343139639684,0.07675410228437335,21,22,0,0
12,162,0.14797606186869455,0.07713015448654718,23,24,0,0
13,161,0.14594156977653755,0.08730481508095753,22,23,0,0
14,163,0.1472127881654808,0.08638843231476495,24,25,0,0
15,165,0.1466977809767729,0.08559381595145021,25,27,0,0
16,168,0.1473415553658894,0.08451342072626666,26,27,0,0
17,168,0.14712924703970087,0.08617076199863412,26,27,0,0
18,170,0.14790758510099072,0.08519236779420748,26,27,0,0
19,169,0.15587730883325024,0.08534839563062568,26,27,0,0
20,170,0.1558144720581136,0.08511211439360643,25,26,0,0
21,171,0.15618937002525382,0.08563004968156313,26,27,0,0
22,167,0.1566511200494854,0.0876605667937697,22,23,0,0
23,169,0.1566643277646942,0.08677323097877013,23,24,0,0
24,169,0.15659209456279927,0.08601576030249806,23,24,0,0
25,169,0.15384933632024317,0.08950551437811231,23,24,0,0
26,167,0.15654661064593,0.0862172629034182,23,24,0,0
27,167,0.15655792931102466,0.08619538679865757,23,24,0,0
28,169,0.15659471236357786,0.08648640545237604,23,24,0,0
29,169,0.1566043684018833,0.0864682504711595,23,24,0,0
30,167,0.15655403002737195,0.08672674808664477,23,24,0,0
31,167,0.1565520674026639,0.08601933561868644,23,24,0,0
32,167,0.15397838759178445,0.08165188874948189,25,26,0,0
33,170,0.1558386542245593,0.07767052488403703,26,27,0,0
34,172,0.1541848284156917,0.08200220846963216,25,26,0,0
35,175,0.15305763971615155,0.08280952741264318,27,27,0,0
36,176,0.15308520220340519,0.08258434624857465,28,28,0,0
37,173,0.15084890357847733,0.08615971736797108,27,27,0,0
38,173,0.15181178629317704,0.0861833189592905,27,27,0,0
39,173,0.15084471138124236,0.08608598289544336,27,27,0,0
40,173,0.15178743115173948,0.08606394161059136,27,27,0,0
41,173,0.15082339671846992,0.08597750033343504,27,27,0,0
42,173,0.1508147660253744,0.08593114299267589,27,27,0,0
43,172,0.15305340984941004,0.08224437204902933,26,26,0,0
44,172,0.15401774084754347,0.08224584337647718,26,26,0,0
45,172,0.15545288088239817,0.08211504262089032,25,26,0,0
46,172,0.15545288088239817,0.08211504262089032,25,26,0,0
47,173,0.15081981159249114,0.08603755174556085,27,27,0,0
48,172,0.15399150335751033,0.08216493792256391,26,26,0,0
49,173,0.15318751258520777,0.08625284921911229,26,27,0,0
50,173,0.15318751258520777,0.08625284921911229,26,27,0,0
