depth,n,var_o1,var_o2,unique_level_count_o1,unique_level_count_o2,mad0_o1,mad0_o2
1,15,0.00011235337927730321,0.0028749546587310357,6,7,1,1
2,193,0.00018883564741941768,0.006319162059778938,153,168,0,0
3,196,0.00025381999955272495,0.011515685598704356,169,189,0,0
4,192,0.00035118870845350143,0.01727287822572753,166,192,0,0
5,186,0.010983264737775687,0.030495878364854078,157,186,0,0
6,165,0.029905745900453733,0.041624786957155616,132,165,0,0
7,163,0.0777639954859227,0.052461002109167224,135,163,0,0
8,168,0.12453671990276291,0.06409589350188181,127,168,0,0
9,166,0.15375080295701476,0.07360163837903082,111,166,0,0
10,164,0.15745080404140768,0.083906627730096,110,164,0,0
11,165,0.16207351639480033,0.07693075164250587,106,165,0,0
12,172,0.160861034077813,0.07124297314019895,111,172,0,0
13,171,0.16191626904664555,0.0695658843448823,110,171,0,0
14,173,0.16408395764916045,0.0700558525116844,110,173,0,0
15,175,0.16512684821020654,0.07092506423144912,111,175,0,0
16,172,0.16334357415525338,0.06966706737171643,109,172,0,0
17,173,0.1648281657093711,0.07030417290395481,109,173,0,0
18,175,0.16600041069858912,0.07111061723933863,112,175,0,0
19,175,0.16040163991129425,0.07433647978773866,104,175,0,0
20,174,0.1666577622364405,0.0755688833336174,101,174,0,0
21,173,0.1670003128590255,0.07274990358005677,108,173,0,0
22,174,0.16358286598818947,0.07296115660191202,111,174,0,0
23,174,0.16400962077496634,0.07753621511256738,111,174,0,0
24,176,0.16616308466348556,0.07631478124157846,108,176,0,0
25,176,0.16708996095366005,0.07687623690059059,106,176,0,0
26,176,0.1678284205696865,0.08055873634419876,106,175,0,0
27,171,0.17014893280526083,0.07945116061741885,103,171,0,0
28,173,0.17174339814208894,0.08313668685401407,96,173,0,0
29,176,0.1716363301153938,0.07614825313537209,104,176,0,0
30,174,0.16744628512783882,0.08376680893210178,113,174,0,0
31,173,0.1639384833752606,0.08776560930418416,103,173,0,0
32,176,0.16512119685402993,0.0807363996971819,101,176,0,0
33,176,0.16627492221352644,0.08030751820973864,113,176,0,0
34,175,0.16752576279459883,0.0838135924944437,111,175,0,0
35,176,0.16665492079372624,0.08310424024016744,112,176,0,0
36,176,0.16654058484475118,0.08293832684965614,112,176,0,0
37,176,0.16646128966478316,0.08280368846209765,112,176,0,0
38,176,0.16644144548638096,0.08280840805102899,112,176,0,0
39,176,0.16651510495878533,0.08267588902627804,112,176,0,0
40,176,0.16652717600696823,0.08257959139642118,112,176,0,0
41,176,0.16686662903901178,0.08253841373020764,111,176,0,0
42,175,0.16556932238243338,0.08177141792167171,111,175,0,0
43,175,0.16557983393285117,0.08217059824362927,111,175,0,0
44,175,0.16568307983148198,0.08201752350433161,111,175,0,0
45,175,0.1653859914009033,0.08246646500698235,112,175,0,0
46,176,0.16708645741636716,0.08263749196552073,112,176,0,0
47,176,0.16420620447391004,0.08467164898246721,116,176,0,0
48,176,0.16674958366813702,0.0822269213173719,111,176,0,0
49,175,0.16578964282746914,0.08234013571692693,111,175,0,0
50,175,0.16580204292847311,0.0821111498185902,111,175,0,0
