depth,candidate_id,objective_0,objective_1,objective_2,objective_3_shape
1,0,0.8773,0.9720584493592014,0.39445523131292753,0
1,1,0.816355605906387,0.904531362593245,0.3670531623861951,0
1,2,0.8111548987747248,0.8987689195179288,0.36471479907306326,0
1,3,0.7822332083087484,0.8667233551873648,0.35171090975046254,0
1,4,0.7769386731800408,0.8608569496165347,0.3493303591077078,0
1,5,0.7779068173703013,0.8834367001461974,0.2620690407347618,0
1,6,0.7402098443461202,0.8201609865445179,0.3328161921482446,0
1,7,0.7141342414983883,0.791268919896538,0.3210919724367136,0
1,8,0.7174566618885607,0.8147859508666832,0.24170398684190492,0
1,9,0.7121206640875516,0.808726078162075,0.2399063424533385,0
1,10,0.6768402978604934,0.7499468031483998,0.30432371623671683,0
1,11,0.6902318138431923,0.802807382728017,0.27309769723825855,0
1,12,0.6531317036117614,0.7596563111655834,0.2584186365686628,0
1,13,0.6128025360464184,0.7464689928842125,0.3108165606405204,0
1,14,0.588445477851872,0.716799094947093,0.29846253693788927,0
2,0,0.6176830099077518,0.6843998504576012,0.2777251733172547,0
2,1,0.6453338161856091,0.7142541945469405,0.21319638474991465,0
2,2,0.6072510800153869,0.6728411526404392,0.27303472612845603,0
2,3,0.6071551479993258,0.6727348588677546,0.27299159278115676,0
2,4,0.6048306625804167,0.6701593023969203,0.27194644809450536,0
2,5,0.604343458939883,0.6696194751823537,0.27172738959145815,0
2,6,0.6015754633588495,0.6665525043715335,0.2704828320430828,0
2,7,0.5977678646180159,0.670754103030213,0.2205170451567786,0
2,8,0.5527877950362139,0.6124952090135577,0.248546720116235,0
2,9,0.5251837477515073,0.5953579597759502,0.30302431188084683,0
2,10,0.5789744186954762,0.6408077443282171,0.19127349262146337,0
2,11,0.5785745064666044,0.6403651222623061,0.19114137519746616,0
2,12,0.549254969953864,0.6085807983542548,0.2469582767843685,0
2,13,0.5210052032888848,0.5906210848883497,0.30061334511755544,0
2,14,0.5657210855968071,0.6347944775807681,0.2086949626481027,0
2,15,0.5464237246721342,0.605443746150546,0.2456852806456379,0
2,16,0.5383810273441498,0.5965323453830709,0.24206909002111957,0
2,17,0.5367849325219716,0.5947638540370355,0.2413514473079317,0
2,18,0.5281068942194704,0.5851484881920463,0.23744959206348223,0
2,19,0.5007884699150942,0.5677030239500868,0.28894854828159156,0
2,20,0.5258187092183926,0.5826131529999857,0.23642076891987465,0
2,21,0.5255171305435105,0.5822790003736712,0.23628517187671988,0
2,22,0.523114752734012,0.5796171382418167,0.23520500489330856,0
2,23,0.49287491349714935,0.558732070786112,0.28438252734445346,0
2,24,0.5184082533436998,0.5744022830050026,0.23308884929581655,0
2,25,0.5146269290837597,0.5702125324104037,0.23138867474250088,0
2,26,0.4884387700166758,0.5537031769120812,0.28182292923935137,0
2,27,0.5386615995480639,0.5961895956307841,0.1779555057350711,0
2,28,0.4865065732339928,0.5515128030870173,0.2807080763845218,0
2,29,0.48521432224347155,0.5500478835868823,0.2799624640748176,0
2,30,0.48419430006637715,0.548891567678629,0.27937392431203834,0
2,31,0.5331002976781272,0.6054200288664295,0.17959616821485963,0
2,32,0.4832348767608726,0.5478039477662229,0.27882034932386,0
2,33,0.5322124323573478,0.6044117168274439,0.17929705525206946,0
2,34,0.4825732569160384,0.5470539233363843,0.2784386031272842,0
2,35,0.4822181234464874,0.5466513375008835,0.27823369565309575,0
2,36,0.48128596988171174,0.5455946310683277,0.2776958549568771,0
2,37,0.48085351217295025,0.5451043890525,0.2774463323846801,0
2,38,0.5171245562594522,0.6014666424074051,0.20460593479960407,0
