depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected,entropy_per_depth,unique_category_count_per_depth,pareto_front_size_per_depth,pareto_mean_nn_dist,pareto_spacing,pareto_hv_2d,field_extract_us,field_score_us,field_aggregate_us,field_total_us,unique_category_count,category_entropy,pareto_front_size,field_total_us_required
62,0.493496537,0.000534264,0.000000000,0.000000000,0.000000000,0,1.000000000,10,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,2,20,"Refactor:10|Reliability:10",0.693147182,2,10,0.000000000,0.000000000,1.000000000,61.083000183,5.209000111,55.250999451,67.957000732,2,0.693147182,10,67.957000732
63,0.494030803,0.000534264,0.000000000,0.000000000,0.000000000,0,1.000000000,10,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,2,20,"Refactor:10|Reliability:10",0.693147182,2,10,0.000000000,0.000000000,1.000000000,61.875999451,5.041999817,55.459999084,68.877998352,2,0.693147182,10,68.877998352
64,0.494565070,0.000534264,0.000000000,0.000000000,0.000000000,0,1.000000000,10,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,2,20,"Refactor:10|Reliability:10",0.693147182,2,10,0.000000000,0.000000000,1.000000000,61.250999451,5.125000000,55.671001434,68.248001099,2,0.693147182,10,68.248001099
65,0.495099336,0.000534264,0.000000000,0.000000000,0.000000000,0,1.000000000,10,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,2,20,"Refactor:10|Reliability:10",0.693147182,2,10,0.000000000,0.000000000,1.000000000,63.707000732,5.205999851,57.081001282,70.708000183,2,0.693147182,10,70.708000183
66,0.495633572,0.000534264,0.000000000,0.000000000,0.000000000,0,1.000000000,10,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,2,20,"Refactor:10|Reliability:10",0.693147182,2,10,0.000000000,0.000000000,1.000000000,64.209999084,5.000000000,54.879001617,71.331001282,2,0.693147182,10,71.331001282
67,0.496167839,0.000534264,0.000000000,0.000000000,0.000000000,0,1.000000000,10,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,2,20,"Refactor:10|Reliability:10",0.693147182,2,10,0.000000000,0.000000000,1.000000000,61.916999817,5.084000111,55.166000366,68.708999634,2,0.693147182,10,68.708999634
68,0.496702105,0.000534264,0.000000000,0.000000000,0.000000000,0,1.000000000,10,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,2,20,"Refactor:10|Reliability:10",0.693147182,2,10,0.000000000,0.000000000,1.000000000,61.165000916,5.041999817,54.792999268,68.041999817,2,0.693147182,10,68.041999817
69,0.497236371,0.000534264,0.000000000,0.000000000,0.000000000,0,1.000000000,10,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,2,20,"Refactor:10|Reliability:10",0.693147182,2,10,0.000000000,0.000000000,1.000000000,64.125000000,5.041999817,55.208999634,70.957000732,2,0.693147182,10,70.957000732
70,0.497770637,0.000534264,0.000000000,0.000000000,0.000000000,0,1.000000000,10,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,2,20,"Refactor:10|Reliability:10",0.693147182,2,10,0.000000000,0.000000000,1.000000000,61.125000000,5.084000111,55.000999451,68.000999451,2,0.693147182,10,68.000999451
71,0.498304904,0.000534264,0.000000000,0.000000000,0.000000000,0,1.000000000,10,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,2,20,"Refactor:10|Reliability:10",0.693147182,2,10,0.000000000,0.000000000,1.000000000,61.625000000,5.166999817,54.835998535,68.414001465,2,0.693147182,10,68.414001465
