depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected,entropy_per_depth,unique_category_count_per_depth,pareto_front_size_per_depth,pareto_mean_nn_dist,pareto_spacing,pareto_hv_2d,field_extract_us,field_score_us,field_aggregate_us,field_total_us,unique_category_count,category_entropy,pareto_front_size,field_total_us_required
1,0.495717257,-0.004282756,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.004746891,0.870174885,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,15,"ConstraintPropagation:2|Cost:1|Performance:1|Refactor:4|Reliability:3|Structural:4",1.656551123,6,6,0.222046733,0.345682800,0.779411793,175.544006348,5.334000111,172.250000000,182.664993286,6,1.656551123,6,182.664993286
2,0.491502851,-0.004214385,0.000000000,0.000000000,0.000000000,0,1.000000000,17,0.006003191,0.250532299,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,78,"ConstraintPropagation:10|Cost:5|Performance:5|Refactor:22|Reliability:15|Structural:21",1.642876983,6,17,0.093952365,0.193358123,0.818802595,308.127014160,8.833000183,302.455993652,319.875000000,6,1.642876983,17,319.875000000
3,0.487411946,-0.004090924,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.031585358,0.466466099,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,83,"ConstraintPropagation:10|Cost:5|Performance:5|Refactor:26|Reliability:15|Structural:22",1.618184805,6,6,0.144206792,0.161952630,0.850346506,312.209014893,8.873999596,306.454010010,323.834014893,6,1.618184805,6,323.834014893
4,0.483542174,-0.003869750,0.000000000,0.000000000,0.000000000,0,1.000000000,8,0.039242327,0.616209984,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,82,"ConstraintPropagation:7|Cost:5|Performance:5|Refactor:30|Reliability:15|Structural:20",1.573950052,6,8,0.123811215,0.167649209,0.818256319,264.127014160,7.830999851,258.872985840,274.420013428,6,1.573950052,8,274.420013428
5,0.479580998,-0.003961184,0.000000000,0.000000000,0.000000000,0,1.000000000,5,0.003964835,0.608486474,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,84,"ConstraintPropagation:9|Cost:5|Performance:5|Refactor:30|Reliability:15|Structural:20",1.592236757,6,5,0.252016783,0.376752913,0.875525415,320.376007080,7.703999996,314.875000000,330.666992188,6,1.592236757,5,330.666992188
6,0.475611508,-0.003969479,0.000000000,0.000000000,0.000000000,0,1.000000000,11,0.020153087,0.836499274,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,83,"ConstraintPropagation:9|Cost:5|Performance:5|Refactor:30|Reliability:15|Structural:19",1.593895793,6,11,0.046850976,0.081231803,1.000000000,303.877014160,7.750000000,298.790008545,314.332000732,6,1.593895793,11,314.332000732
7,0.471878797,-0.003732734,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.008788554,0.468941063,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,73,"ConstraintPropagation:8|Cost:3|Performance:5|Refactor:30|Reliability:13|Structural:14",1.546546817,6,6,0.177454412,0.434672773,1.000000000,207.585006714,8.000000000,202.751998901,218.125000000,6,1.546546817,6,218.125000000
8,0.469406068,-0.002472726,0.000000000,0.000000000,0.000000000,0,1.000000000,10,0.000801787,0.806395173,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,55,"ConstraintPropagation:5|Performance:5|Refactor:30|Reliability:10|Structural:5",1.294545174,5,10,0.039346948,0.124425977,1.000000000,109.125999451,7.673999786,103.581001282,119.459999084,5,1.294545174,10,119.459999084
9,0.468032926,-0.001373138,0.000000000,0.000000000,0.000000000,0,1.000000000,3,0.001422545,0.976432443,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,27,"ConstraintPropagation:1|Performance:1|Refactor:14|Reliability:10|Structural:1",1.074627519,5,3,0.158017725,0.273694724,1.000000000,98.000999451,7.839000225,93.125000000,108.501998901,5,1.074627519,3,108.501998901
10,0.465714782,-0.002318128,0.000000000,0.000000000,0.000000000,0,1.000000000,1,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,26,"ConstraintPropagation:2|Performance:2|Refactor:14|Reliability:6|Structural:2",1.263625622,5,1,0.000000000,0.000000000,1.000000000,110.088996887,7.875999928,104.789001465,120.422996521,5,1.263625622,1,120.422996521
11,0.466249049,0.000534264,0.000000000,0.000000000,0.000000000,0,1.000000000,1,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,2,4,"Refactor:2|Reliability:2",0.693147182,2,1,0.000000000,0.000000000,1.000000000,15.123999596,1.292000055,13.873999596,16.875000000,2,0.693147182,1,16.875000000
12,0.466783315,0.000534264,0.000000000,0.000000000,0.000000000,0,1.000000000,2,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,2,4,"Refactor:2|Reliability:2",0.693147182,2,2,0.000000000,0.000000000,1.000000000,17.083999634,1.250000000,16.250000000,18.750000000,2,0.693147182,2,18.750000000
13,0.467317581,0.000534264,0.000000000,0.000000000,0.000000000,0,1.000000000,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,2,8,"Refactor:4|Reliability:4",0.693147182,2,4,0.000000000,0.000000000,1.000000000,31.250999451,2.454999924,29.624000549,34.542999268,2,0.693147182,4,34.542999268
14,0.467851847,0.000534264,0.000000000,0.000000000,0.000000000,0,1.000000000,8,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,2,16,"Refactor:8|Reliability:8",0.693147182,2,8,0.000000000,0.000000000,1.000000000,61.916999817,4.914999962,58.708000183,68.458999634,2,0.693147182,8,68.458999634
15,0.468386114,0.000534264,0.000000000,0.000000000,0.000000000,0,1.000000000,10,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,2,20,"Refactor:10|Reliability:10",0.693147182,2,10,0.000000000,0.000000000,1.000000000,76.292999268,6.125000000,72.416999817,84.585998535,2,0.693147182,10,84.585998535
