depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected,entropy_per_depth,unique_category_count_per_depth,pareto_front_size_per_depth,mean_nn_dist,pareto_spacing,pareto_hv_2d,field_extract_us,field_score_us,field_aggregate_us,field_total_us,norm_median_0,norm_median_1,norm_median_2,norm_median_3,norm_mad_0,norm_mad_1,norm_mad_2,norm_mad_3,median_nn_dist_all_depth,collapse_flag,normalization_mode,unique_norm_vec_count,norm_dim_mad_zero_count,mean_nn_dist_raw,mean_nn_dist_norm,pareto_spacing_raw,pareto_spacing_norm,distance_calls,nn_distance_calls,weak_dim_count,effective_dim_count,alpha_t,weak_contrib_ratio,collapse_proxy
1,0.495717257,-0.004282756,0.000000000,0.000000000,0.000000000,0,1.000000000,3,1.468770146,2.076587439,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,15,"ConstraintPropagation:2|Cost:1|Performance:1|Refactor:4|Reliability:3|Structural:4",1.656551123,6,3,504.108062744,873.140808105,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.036828022,0.500000000,0.996079981,0.000000000,0.007154640,0.000000000,0.000000000,88.722969055,"false",global_robust,3,3,3.086349726,504.108062744,5.345714569,873.140808105,27,12,2,3,0.100000001,0.166666672,0.000000000
2,0.491517872,-0.004199362,0.000000000,0.000000000,0.000000000,0,1.000000000,10,1.759859443,2.059474468,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,47,"ConstraintPropagation:6|Cost:3|Performance:3|Refactor:14|Reliability:9|Structural:12",1.639872432,6,10,1.733700395,3.654959202,0.788328588,0.000000000,0.000000000,0.000000000,0.000000000,0.862749994,0.032519318,0.592262328,0.996079981,0.014550000,0.019423075,0.274745166,0.000600000,88.722969055,"false",global_robust,10,0,0.605002224,1.733700395,1.483386278,3.654959202,405,180,0,4,0.100000001,0.000000000,0.000000000
3,0.487579614,-0.003938276,0.000000000,0.000000000,0.000000000,0,1.000000000,19,1.304537773,0.732195497,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,130,"ConstraintPropagation:12|Cost:8|Performance:8|Refactor:46|Reliability:24|Structural:32",1.587655306,6,19,62.832729340,193.096343994,0.320016921,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.813348472,0.996079981,0.014550000,0.000000000,0.186651513,0.000680000,88.722969055,"false",global_robust,19,1,0.721403122,62.832729340,2.361992359,193.096343994,1539,684,1,4,0.100000001,0.032258064,0.000000000
4,0.483690232,-0.003889367,0.000000000,0.000000000,0.000000000,0,1.000000000,11,4.917411327,0.676581681,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,129,"ConstraintPropagation:12|Cost:7|Performance:8|Refactor:46|Reliability:24|Structural:32",1.577873468,6,11,192.320968628,373.565155029,0.377176672,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.883922815,0.996159971,0.022671429,0.000000000,0.116077170,0.000600000,88.722969055,"false",global_robust,11,1,1.877102852,192.320968628,5.062811375,373.565155029,495,220,1,4,0.100000001,0.032258064,0.000000000
5,0.479971409,-0.003718837,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.439200968,2.175568581,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,122,"ConstraintPropagation:10|Cost:5|Performance:8|Refactor:46|Reliability:24|Structural:29",1.543767333,6,7,176.373184204,218.259002686,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.889707148,0.000000000,0.947829723,0.996159971,0.026335714,0.000000000,0.052170277,0.000680000,88.722969055,"false",global_robust,7,1,0.576732993,176.373184204,0.580768764,218.259002686,189,84,1,4,0.100000001,0.032258064,0.000000000
6,0.476216495,-0.003754895,0.000000000,0.000000000,0.000000000,0,1.000000000,10,2.845005751,1.737162113,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,92,"ConstraintPropagation:7|Cost:5|Performance:6|Refactor:36|Reliability:19|Structural:19",1.550979018,6,10,167.385421753,216.214797974,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.947829723,0.996159971,0.025264286,0.000000000,0.052170277,0.000680000,88.722969055,"false",global_robust,10,1,0.473495901,167.385421753,0.601212859,216.214797974,405,180,1,4,0.100000001,0.032258064,0.000000000
7,0.472503483,-0.003713031,0.000000000,0.000000000,0.000000000,0,1.000000000,11,1.810671568,1.634073615,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,108,"ConstraintPropagation:10|Cost:5|Performance:7|Refactor:44|Reliability:21|Structural:21",1.542606235,6,11,81.974182129,154.302627563,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907750010,0.000000000,0.949070156,0.996159971,0.024814285,0.000000000,0.050929867,0.000680000,88.722969055,"false",global_robust,11,1,0.607807815,81.974182129,0.713452697,154.302627563,495,220,1,4,0.100000001,0.032258064,0.000000000
8,0.468817562,-0.003685915,0.000000000,0.000000000,0.000000000,0,1.000000000,13,2.144148827,1.692486167,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,99,"ConstraintPropagation:10|Cost:4|Performance:6|Refactor:40|Reliability:20|Structural:19",1.537183046,6,13,89.637550354,159.941574097,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.957517445,0.996079981,0.023339286,0.000000000,0.042482536,0.001200000,88.722969055,"false",global_robust,13,1,0.947182596,89.637550354,0.942429364,159.941574097,702,312,1,4,0.100000001,0.032258064,0.000000000
9,0.465298772,-0.003518785,0.000000000,0.000000000,0.000000000,0,1.000000000,10,0.307846338,1.536594510,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,93,"ConstraintPropagation:9|Cost:3|Performance:6|Refactor:40|Reliability:19|Structural:16",1.503757000,6,10,8.669755936,10.377076149,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.953337133,0.996079981,0.033835713,0.000000000,0.046662878,0.001200000,88.722969055,"false",global_robust,10,1,0.531273186,8.669755936,0.736843646,10.377076149,405,180,1,4,0.100000001,0.032258064,0.000000000
10,0.461838871,-0.003459904,0.000000000,0.000000000,0.000000000,0,1.000000000,11,1.739770532,1.511721253,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,84,"ConstraintPropagation:7|Cost:3|Performance:5|Refactor:36|Reliability:19|Structural:14",1.491980791,6,11,46.052356720,70.889488220,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.923200011,0.000000000,0.951615393,0.996079981,0.032299999,0.000000000,0.048384614,0.001360000,88.722969055,"false",global_robust,11,1,0.453519344,46.052356720,0.727737367,70.889488220,495,220,1,4,0.100000001,0.032258064,0.000000000
