depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected,entropy_per_depth,unique_category_count_per_depth,pareto_front_size_per_depth,mean_nn_dist,pareto_spacing,pareto_hv_2d,field_extract_us,field_score_us,field_aggregate_us,field_total_us,norm_median_0,norm_median_1,norm_median_2,norm_median_3,norm_mad_0,norm_mad_1,norm_mad_2,norm_mad_3,median_nn_dist_all_depth,collapse_flag,normalization_mode,unique_norm_vec_count,norm_dim_mad_zero_count,mean_nn_dist_raw,mean_nn_dist_norm,pareto_spacing_raw,pareto_spacing_norm,distance_calls,nn_distance_calls,weak_dim_count,effective_dim_count,alpha_t,weak_contrib_ratio,collapse_proxy
22,0.415792167,-0.003560797,0.000000000,0.000000000,0.000000000,0,1.000000000,9,0.700966716,1.759963751,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,58,"ConstraintPropagation:4|Cost:4|Performance:4|Refactor:26|Reliability:12|Structural:8",1.512159348,6,9,546.188232422,1466.685913086,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.920949996,0.000000000,0.977641642,0.995639980,0.033042856,0.000000000,0.022358365,0.001200000,193.633941650,"false",global_robust,9,1,1.205567002,546.188232422,3.205595732,1466.685913086,324,144,1,4,0.010000000,0.003322259,0.000000000
23,0.412343979,-0.003448171,0.000000000,0.000000000,0.000000000,0,1.000000000,9,0.480863541,1.603303909,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,55,"ConstraintPropagation:4|Cost:4|Performance:4|Refactor:26|Reliability:11|Structural:6",1.489634156,6,9,492.713348389,1283.461425781,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.920949996,0.000000000,0.977641642,0.995639980,0.033042856,0.000000000,0.022358365,0.001200000,193.633941650,"false",global_robust,9,1,1.091150880,492.713348389,2.864763737,1283.461425781,324,144,1,4,0.010000000,0.003322259,0.000000000
24,0.409079790,-0.003264193,0.000000000,0.000000000,0.000000000,0,1.000000000,10,0.871280074,1.544714451,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,52,"ConstraintPropagation:4|Cost:4|Performance:4|Refactor:26|Reliability:10|Structural:4",1.452838540,6,10,339.126159668,933.025451660,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.920949996,0.000000000,0.977641642,0.995639980,0.033042856,0.000000000,0.022358365,0.001200000,193.633941650,"false",global_robust,10,1,0.825653732,339.126159668,2.276923180,933.025451660,405,180,1,4,0.010000000,0.003322259,0.000000000
25,0.405815601,-0.003264193,0.000000000,0.000000000,0.000000000,0,1.000000000,12,0.835891843,1.516898990,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,52,"ConstraintPropagation:4|Cost:4|Performance:4|Refactor:26|Reliability:10|Structural:4",1.452838540,6,12,247.292419434,733.346557617,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.920949996,0.000000000,0.977641642,0.995639980,0.033042856,0.000000000,0.022358365,0.001200000,193.633941650,"false",global_robust,12,1,0.611859739,247.292419434,1.823540568,733.346557617,594,264,1,4,0.010000000,0.003322259,0.000000000
26,0.402551413,-0.003264193,0.000000000,0.000000000,0.000000000,0,1.000000000,10,0.964606225,1.604586840,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,52,"ConstraintPropagation:4|Cost:4|Performance:4|Refactor:26|Reliability:10|Structural:4",1.452838540,6,10,339.141448975,656.762329102,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.920949996,0.000000000,0.977641642,0.995639980,0.033042856,0.000000000,0.022358365,0.001200000,193.633941650,"false",global_robust,10,1,0.840058506,339.141448975,1.657632232,656.762329102,405,180,1,4,0.010000000,0.003322259,0.000000000
27,0.399287224,-0.003264193,0.000000000,0.000000000,0.000000000,0,1.000000000,9,0.849878073,1.624305248,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,52,"ConstraintPropagation:4|Cost:4|Performance:4|Refactor:26|Reliability:10|Structural:4",1.452838540,6,9,240.573959351,361.050994873,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.920949996,0.000000000,0.977641642,0.995639980,0.033042856,0.000000000,0.022358365,0.001200000,193.633941650,"false",global_robust,9,1,0.846587062,240.573959351,1.401695728,361.050994873,324,144,1,4,0.010000000,0.003322259,0.000000000
28,0.396023035,-0.003264193,0.000000000,0.000000000,0.000000000,0,1.000000000,10,0.855065107,1.599865556,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,52,"ConstraintPropagation:4|Cost:4|Performance:4|Refactor:26|Reliability:10|Structural:4",1.452838540,6,10,168.527984619,228.805801392,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.920949996,0.000000000,0.977641642,0.995639980,0.033042856,0.000000000,0.022358365,0.001200000,193.633941650,"false",global_robust,10,1,0.659334481,168.527984619,1.061620831,228.805801392,405,180,1,4,0.010000000,0.003322259,0.000000000
29,0.392758846,-0.003264193,0.000000000,0.000000000,0.000000000,0,1.000000000,10,0.341527551,1.493362665,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,52,"ConstraintPropagation:4|Cost:4|Performance:4|Refactor:26|Reliability:10|Structural:4",1.452838540,6,10,157.713699341,185.532440186,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.920949996,0.000000000,0.977641642,0.995639980,0.033042856,0.000000000,0.022358365,0.001200000,193.633941650,"false",global_robust,10,1,0.460057437,157.713699341,0.588893712,185.532440186,405,180,1,4,0.010000000,0.003322259,0.000000000
30,0.389616162,-0.003142684,0.000000000,0.000000000,0.000000000,0,1.000000000,8,0.324374288,1.546967387,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,51,"ConstraintPropagation:4|Cost:3|Performance:4|Refactor:26|Reliability:10|Structural:4",1.428536773,6,8,160.425949097,121.077766418,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.920949996,0.000000000,0.977641642,0.995639980,0.033042856,0.000000000,0.022358365,0.001200000,193.633941650,"false",global_robust,8,1,0.563353598,160.425949097,0.484918416,121.077766418,252,112,1,4,0.010000000,0.003322259,0.000000000
31,0.386473477,-0.003142684,0.000000000,0.000000000,0.000000000,0,1.000000000,9,0.316589773,1.469229579,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,51,"ConstraintPropagation:4|Cost:3|Performance:4|Refactor:26|Reliability:10|Structural:4",1.428536773,6,9,124.804450989,133.543838501,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.920949996,0.000000000,0.977641642,0.995639980,0.033042856,0.000000000,0.022358365,0.001200000,193.633941650,"false",global_robust,9,1,0.453726858,124.804450989,0.529619813,133.543838501,324,144,1,4,0.010000000,0.003322259,0.000000000
