depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected,entropy_per_depth,unique_category_count_per_depth,pareto_front_size_per_depth,mean_nn_dist,pareto_spacing,pareto_hv_2d,field_extract_us,field_score_us,field_aggregate_us,field_total_us,norm_median_0,norm_median_1,norm_median_2,norm_median_3,norm_mad_0,norm_mad_1,norm_mad_2,norm_mad_3,median_nn_dist_all_depth,collapse_flag,normalization_mode,unique_norm_vec_count,norm_dim_mad_zero_count,mean_nn_dist_raw,mean_nn_dist_norm,pareto_spacing_raw,pareto_spacing_norm,distance_calls,nn_distance_calls,weak_dim_count,effective_dim_count,alpha_t,weak_contrib_ratio,collapse_proxy
1,0.495717257,-0.004282756,0.000000000,0.000000000,0.000000000,0,1.000000000,3,1.132225633,2.377793789,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,15,"ConstraintPropagation:2|Cost:1|Performance:1|Refactor:4|Reliability:3|Structural:4",1.656551123,6,3,343.744812012,595.383483887,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.052311301,0.500000000,0.996079981,0.000000000,0.007287379,0.000000000,0.000000000,163.817718506,"false",global_robust,3,3,2.601167440,343.744812012,4.505353928,595.383483887,27,12,2,3,0.010000000,0.019607844,0.000000000
2,0.491517872,-0.004199362,0.000000000,0.000000000,0.000000000,0,1.000000000,11,1.743233681,1.754203916,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,47,"ConstraintPropagation:6|Cost:3|Performance:3|Refactor:14|Reliability:9|Structural:12",1.639872432,6,11,91.533905029,283.683959961,0.788328409,0.000000000,0.000000000,0.000000000,0.000000000,0.862749994,0.052311301,0.792281032,0.996079981,0.014550000,0.015397692,0.207718983,0.000600000,163.817718506,"false",global_robust,11,0,0.314920306,91.533905029,0.707878709,283.683959961,495,220,0,4,0.010000000,0.000000000,0.000000000
3,0.487550676,-0.003967218,0.000000000,0.000000000,0.000000000,0,1.000000000,24,0.912938535,-0.342241883,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,131,"ConstraintPropagation:13|Cost:8|Performance:8|Refactor:46|Reliability:24|Structural:32",1.593443513,6,24,129.185501099,349.604827881,0.314392447,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.922882497,0.996079981,0.014550000,0.000000000,0.077117480,0.000600000,163.817718506,"false",global_robust,24,1,0.528862178,129.185501099,2.113418102,349.604827881,2484,1104,1,4,0.010000000,0.003322259,0.000000000
4,0.483771086,-0.003779573,0.000000000,0.000000000,0.000000000,0,1.000000000,13,6.359172344,0.973805249,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,126,"ConstraintPropagation:9|Cost:7|Performance:8|Refactor:46|Reliability:24|Structural:32",1.555914640,6,13,164.386367798,403.666900635,0.388403744,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.922882497,0.996159971,0.014550000,0.000000000,0.077117480,0.000600000,163.817718506,"false",global_robust,13,1,1.668619156,164.386367798,5.698037624,403.666900635,702,312,1,4,0.010000000,0.003322259,0.000000000
5,0.479993820,-0.003777268,0.000000000,0.000000000,0.000000000,0,1.000000000,20,10.536033630,1.871952891,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,124,"ConstraintPropagation:10|Cost:6|Performance:8|Refactor:46|Reliability:24|Structural:30",1.555453658,6,20,132.557067871,305.610626221,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.945267618,0.996159971,0.029100001,0.000000000,0.054732397,0.000600000,163.817718506,"false",global_robust,20,1,0.314453125,132.557067871,0.703025997,305.610626221,1710,760,1,4,0.010000000,0.003322259,0.000000000
6,0.476153761,-0.003840051,0.000000000,0.000000000,0.000000000,0,1.000000000,10,0.717930675,1.995552063,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,112,"ConstraintPropagation:10|Cost:6|Performance:7|Refactor:42|Reliability:22|Structural:25",1.568010211,6,10,299.671508789,291.440490723,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.899971426,0.000000000,0.956096351,0.996159971,0.023228571,0.000000000,0.043903630,0.000680000,163.817718506,"false",global_robust,10,1,0.607515752,299.671508789,0.675753951,291.440490723,405,180,1,4,0.010000000,0.003322259,0.000000000
7,0.472482055,-0.003671720,0.000000000,0.000000000,0.000000000,0,1.000000000,14,0.435993016,1.771260858,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,107,"ConstraintPropagation:9|Cost:5|Performance:7|Refactor:44|Reliability:21|Structural:21",1.534344077,6,14,97.988243103,136.893722534,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.966410935,0.996159971,0.029999999,0.000000000,0.033589046,0.000680000,163.817718506,"false",global_robust,14,1,0.207395464,97.988243103,0.309879273,136.893722534,819,364,1,4,0.010000000,0.003322259,0.000000000
8,0.468743682,-0.003738377,0.000000000,0.000000000,0.000000000,0,1.000000000,11,0.707270861,2.230537415,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,108,"ConstraintPropagation:9|Cost:6|Performance:7|Refactor:44|Reliability:21|Structural:21",1.547675371,6,11,170.324447632,432.967224121,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.907750010,0.000000000,0.968724370,0.996159971,0.038199998,0.000000000,0.031275656,0.000760000,163.817718506,"false",global_robust,11,1,0.681463420,170.324447632,1.666443586,432.967224121,495,220,1,4,0.010000000,0.003322259,0.000000000
9,0.464939028,-0.003804633,0.000000000,0.000000000,0.000000000,0,1.000000000,14,1.109649658,2.036545992,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,116,"ConstraintPropagation:9|Cost:7|Performance:7|Refactor:44|Reliability:23|Structural:26",1.560926557,6,14,126.088165283,283.252807617,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.916042864,0.000000000,0.972881258,0.996159971,0.037950002,0.000000000,0.027118718,0.000760000,163.817718506,"false",global_robust,14,1,0.275289714,126.088165283,0.518667400,283.252807617,819,364,1,4,0.010000000,0.003322259,0.000000000
10,0.461099088,-0.003839956,0.000000000,0.000000000,0.000000000,0,1.000000000,11,0.644882560,1.891856909,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,111,"ConstraintPropagation:10|Cost:7|Performance:7|Refactor:44|Reliability:21|Structural:22",1.567991138,6,11,150.834075928,190.091674805,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.925499976,0.000000000,0.975773036,0.996079981,0.029999999,0.000000000,0.024226950,0.000920000,163.817718506,"false",global_robust,11,1,0.385786235,150.834075928,0.477706969,190.091674805,495,220,1,4,0.010000000,0.003322259,0.000000000
