variant,depth,beam_index,rule_id,objective_vector_raw,objective_vector_norm
Ortho,74,2,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,74,3,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,74,4,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,75,0,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,75,1,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,75,2,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,75,3,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,75,4,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,76,0,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,76,1,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
