variant,depth,beam_index,rule_id,objective_vector_raw,objective_vector_norm
Ortho,44,3,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,44,4,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,45,0,000000000000000000000000000003f6,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,45,1,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,45,2,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,45,3,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,45,4,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,46,0,000000000000000000000000000003f6,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,46,1,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,46,2,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,46,3,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,46,4,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,47,0,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,47,1,000000000000000000000000000003f6,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,47,2,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,47,3,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,47,4,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,48,0,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,48,1,000000000000000000000000000003f6,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,48,2,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,48,3,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,48,4,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,49,0,000000000000000000000000000003f6,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,49,1,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,49,2,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,49,3,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,49,4,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,50,0,000000000000000000000000000003f6,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,50,1,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,50,2,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,50,3,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,50,4,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,51,0,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,51,1,000000000000000000000000000003f6,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,51,2,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,51,3,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,51,4,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,52,0,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,52,1,000000000000000000000000000003f6,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,52,2,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,52,3,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,52,4,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,53,0,000000000000000000000000000003f6,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,53,1,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,53,2,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,53,3,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,53,4,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,54,0,000000000000000000000000000003f6,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,54,1,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,54,2,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,54,3,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,54,4,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,55,0,000000000000000000000000000003f6,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,55,1,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,55,2,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,55,3,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,55,4,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,56,0,000000000000000000000000000003f6,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,56,1,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,56,2,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,56,3,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,56,4,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,57,0,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,57,1,000000000000000000000000000003f6,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,57,2,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,57,3,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,57,4,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,58,0,000000000000000000000000000003f6,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,58,1,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,58,2,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,58,3,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,58,4,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,59,0,000000000000000000000000000003f6,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,59,1,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,59,2,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,59,3,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,59,4,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,60,0,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,60,1,000000000000000000000000000003f6,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,60,2,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,60,3,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,60,4,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,61,0,000000000000000000000000000003f6,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,61,1,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,61,2,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,61,3,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,61,4,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,62,0,000000000000000000000000000003f6,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,62,1,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,62,2,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,62,3,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,62,4,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,63,0,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,63,1,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,63,2,000000000000000000000000000003f6,"0.997853514|0.172830924|1.000000000|1.000000000","-1.006611483|0.346217525|0.000000000|0.000000000"
Ortho,63,3,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,63,4,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,64,0,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,64,1,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,64,2,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,64,3,000000000000000000000000000003f6,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,64,4,000000000000000000000000000003f7,"0.998006527|0.171244562|1.000000000|1.000000000","0.501647425|-0.529560731|0.000000000|0.000000000"
Ortho,65,0,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,65,1,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,65,2,000000000000000000000000000003f6,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,65,3,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,65,4,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,66,0,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,66,1,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,66,2,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,66,3,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,66,4,000000000000000000000000000003f6,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,67,0,000000000000000000000000000003f7,"0.997853514|0.172830850|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,67,1,000000000000000000000000000003f6,"0.997853514|0.172830850|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,67,2,000000000000000000000000000003f7,"0.997853514|0.172830850|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,67,3,000000000000000000000000000003f7,"0.997853514|0.172830850|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,67,4,000000000000000000000000000003f7,"0.997853514|0.172830850|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,68,0,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,68,1,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,68,2,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,68,3,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,68,4,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,69,0,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,69,1,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,69,2,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,69,3,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,69,4,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,70,0,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,70,1,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,70,2,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,70,3,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,70,4,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
