depth,candidate_id,objective_0,objective_1,objective_2,objective_3
1,0,0.8773,0.050991885364055634,0.5,0.99608
1,1,0.8773,0.02189740166068077,0.5,0.99608
1,2,0.8773,0.02762867696583271,0.5,0.99608
1,3,0.8773,0.052507054060697556,0.5,0.99608
1,4,0.8773,0.06978247314691544,0.5,0.99608
1,5,0.8773,0.020943833515048027,0.5,0.99608
1,6,0.8773,0.06335245072841644,0.5,0.99608
1,7,0.8773,0.03687838464975357,0.5,0.99608
1,8,0.8682785714285715,0.12961117923259735,0.5,0.99532
1,9,0.8682785714285715,0.13253237307071686,0.5,0.99532
1,10,0.8682785714285715,0.1328481286764145,0.5,0.99532
1,11,0.8472999999999999,0.12986412644386292,0.5,0.996
1,12,0.8472999999999999,0.12986412644386292,0.5,0.996
1,13,0.81775,0.13847805559635162,0.5,0.99668
1,14,0.81775,0.13847805559635162,0.5,0.99668
2,0,0.9111357142857143,0.0644986554980278,1,0.99548
2,1,0.9111357142857143,0.05644943565130234,1,0.99548
2,2,0.9111357142857143,0.06480549275875092,1,0.99548
2,3,0.9111357142857143,0.03822574019432068,1,0.99548
2,4,0.9111357142857143,0.01802823506295681,1,0.99548
2,5,0.8897071428571428,0.057300865650177,1,0.9954
2,6,0.8897071428571428,0.0644986554980278,1,0.9954
2,7,0.8839,0.13886214792728424,1,0.99464
2,8,0.8839,0.14619839191436768,1,0.99464
2,9,0.8839,0.14282351732254028,1,0.99464
2,10,0.8773,0.02189740166068077,1,0.99608
2,11,0.8773,0.03687838464975357,1,0.99608
2,12,0.8773,0.020943833515048027,1,0.99608
2,13,0.8773,0.03828125447034836,1,0.99608
2,14,0.8773,0.02189740166068077,1,0.99608
2,15,0.8773,0.06335245072841644,1,0.99608
2,16,0.8773,0.020943833515048027,1,0.99608
2,17,0.8773,0.06978247314691544,1,0.99608
2,18,0.8773,0.06978247314691544,1,0.99608
2,19,0.8773,0.06978247314691544,1,0.99608
2,20,0.8773,0.02762867696583271,1,0.99608
2,21,0.8773,0.06978247314691544,1,0.99608
2,22,0.8773,0.04296213388442993,1,0.99608
2,23,0.8773,0.06784240901470184,0.9947142269902332,0.99608
2,24,0.8682785714285715,0.13253237307071686,1,0.99532
2,25,0.8682785714285715,0,1,0.99532
2,26,0.8682785714285715,0,1,0.99532
2,27,0.8682785714285715,0,1,0.99532
2,28,0.8682785714285715,0,1,0.99532
