variant,depth,corr_matrix_flat,mean_nn_dist,spacing,pareto_front_size,collapse_flag
Base,26,"1.000000|-0.832435|0.000000|0.832258|-0.832435|1.000000|0.000000|-0.995868|0.000000|0.000000|1.000000|0.000000|0.832258|-0.995868|0.000000|1.000000",1.484025437,1.315584612,9,false
Base,27,"1.000000|-0.655423|0.000000|0.713216|-0.655423|1.000000|0.000000|-0.986049|0.000000|0.000000|1.000000|0.000000|0.713216|-0.986049|0.000000|1.000000",1.491976680,1.904656171,12,false
Base,28,"1.000000|-0.906840|0.000000|0.919468|-0.906840|1.000000|0.000000|-0.999211|0.000000|0.000000|1.000000|0.000000|0.919468|-0.999211|0.000000|1.000000",1.996001652,4.084621758,10,false
Base,29,"1.000000|-0.773416|0.000000|0.839560|-0.773416|1.000000|0.000000|-0.993064|0.000000|0.000000|1.000000|0.000000|0.839560|-0.993064|0.000000|1.000000",0.925413989,2.204258081,10,false
Base,30,"1.000000|-0.784657|0.000000|0.819343|-0.784657|1.000000|0.000000|-0.995785|0.000000|0.000000|1.000000|0.000000|0.819343|-0.995785|0.000000|1.000000",1.602342820,3.202214399,8,false
Base,31,"1.000000|-0.553810|0.000000|0.676865|-0.553810|1.000000|0.000000|-0.981448|0.000000|0.000000|1.000000|0.000000|0.676865|-0.981448|0.000000|1.000000",1.126805341,1.387281533,10,false
Base,32,"1.000000|-0.818146|0.000000|0.896227|-0.818146|1.000000|0.000000|-0.988061|0.000000|0.000000|1.000000|0.000000|0.896227|-0.988061|0.000000|1.000000",0.961424353,1.732039152,9,false
Base,33,"1.000000|-0.787125|0.000000|0.886542|-0.787125|1.000000|0.000000|-0.980637|0.000000|0.000000|1.000000|0.000000|0.886542|-0.980637|0.000000|1.000000",0.987865967,2.627455794,10,false
Base,34,"1.000000|-0.870488|0.000000|0.939357|-0.870488|1.000000|0.000000|-0.984125|0.000000|0.000000|1.000000|0.000000|0.939357|-0.984125|0.000000|1.000000",0.631330652,1.533458901,10,false
Base,35,"1.000000|-0.848999|0.000000|0.899900|-0.848999|1.000000|0.000000|-0.985967|0.000000|0.000000|1.000000|0.000000|0.899900|-0.985967|0.000000|1.000000",1.191994923,2.555591571,9,false
Base,36,"1.000000|-0.774105|0.000000|0.846821|-0.774105|1.000000|0.000000|-0.985972|0.000000|0.000000|1.000000|0.000000|0.846821|-0.985972|0.000000|1.000000",0.748517448,1.692183289,9,false
Base,37,"1.000000|-0.904223|0.000000|0.943430|-0.904223|1.000000|0.000000|-0.990439|0.000000|0.000000|1.000000|0.000000|0.943430|-0.990439|0.000000|1.000000",0.555567401,0.617050646,8,false
Base,38,"1.000000|-0.923805|0.000000|0.876462|-0.923805|1.000000|0.000000|-0.987448|0.000000|0.000000|1.000000|0.000000|0.876462|-0.987448|0.000000|1.000000",1.555292353,2.440331137,8,false
Base,39,"1.000000|-0.728543|0.794762|0.803972|-0.728543|1.000000|-0.500185|-0.971987|0.794762|-0.500185|1.000000|0.635562|0.803972|-0.971987|0.635562|1.000000",323.845264898,1022.240792032,10,false
Base,40,"1.000000|-0.820844|0.000000|0.937086|-0.820844|1.000000|0.000000|-0.967974|0.000000|0.000000|1.000000|0.000000|0.937086|-0.967974|0.000000|1.000000",1.055216313,1.479704653,7,false
Base,41,"1.000000|-0.804104|0.000000|0.922069|-0.804104|1.000000|0.000000|-0.962477|0.000000|0.000000|1.000000|0.000000|0.922069|-0.962477|0.000000|1.000000",0.749641321,1.920747313,10,false
Base,42,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,43,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,44,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,45,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,46,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,47,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,48,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,49,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
