case_id,category,input_len,input_hash_prefix
A-001,A,49,27b3a25f
A-002,A,48,7c5e53a4
A-003,A,37,e8a9725e
A-004,A,48,2d5d1c5c
A-005,A,49,625beea0
A-006,A,48,c6411724
A-007,A,48,f4d72513
A-008,A,37,d1440b1c
A-009,A,48,46340c89
A-010,A,49,1bb923a8
A-011,A,36,1312649d
A-012,A,50,31de8a93
A-013,A,41,9ef7331c
A-014,A,36,55ad946d
A-015,A,41,03cec9fb
A-016,A,50,2daedf23
A-017,A,50,5dfe446f
A-018,A,49,aa9ae6a4
A-019,A,49,67ecc80b
A-020,A,50,5ee82613
B-001,B,37,8d1b2f74
B-002,B,37,257ab1a7
B-003,B,42,866a06a9
B-004,B,45,a525d035
B-005,B,45,a3de179f
B-006,B,42,43e0abdb
B-007,B,37,8d48abba
B-008,B,37,9f5101d9
B-009,B,41,d198bf28
B-010,B,43,7d8bd3b2
B-011,B,40,117f79b7
B-012,B,38,7bd49bed
B-013,B,38,1fb223de
B-014,B,46,17b364f5
B-015,B,46,fbfcf0a1
B-016,B,38,bae377b2
B-017,B,46,3d553a5e
B-018,B,35,b83565b8
B-019,B,38,d9e00d0b
B-020,B,46,c802885f
B-021,B,42,7190d9d9
B-022,B,42,e16181bc
B-023,B,38,b7a6557e
B-024,B,43,e3c93eae
B-025,B,43,ba81509c
C-001,C,34,70f46c80
C-002,C,43,6a8d3ec9
C-003,C,43,8d730bcb
C-004,C,34,a607ee62
C-005,C,43,80cead12
C-006,C,44,d4dc65f6
C-007,C,39,cd712b91
C-008,C,43,653f4ef2
C-009,C,44,25bd2680
C-010,C,46,db61c6cd
C-011,C,44,f0c7eabf
C-012,C,45,d3588005
C-013,C,44,26d18263
C-014,C,45,82f42238
C-015,C,45,ba2b3baf
C-016,C,35,80dea4e6
C-017,C,46,932d686e
C-018,C,45,c8330172
C-019,C,46,8e57374d
C-020,C,45,5f7a44fa
D-001,D,37,f6f43a70
D-002,D,37,cc5778bc
D-003,D,37,d2230a76
D-004,D,37,9eb734af
D-005,D,40,05260d5f
D-006,D,40,05740b02
D-007,D,38,22c16512
D-008,D,38,b8370345
D-009,D,39,357703ac
D-010,D,35,06a686d9
D-011,D,38,4f5be3b9
D-012,D,40,a259294e
D-013,D,38,06aa3523
D-014,D,38,88921c45
D-015,D,39,5744327e
E-001,E,37,30efdf24
E-002,E,38,fbfb90a8
E-003,E,37,867a302b
E-004,E,39,b2bc7be0
E-005,E,39,4c994c33
E-006,E,38,3d423762
E-007,E,38,ab4802a4
E-008,E,39,ee5ecb6f
E-009,E,38,d51a0288
E-010,E,40,108acd17
F-001,F,33,8188c8b0
F-002,F,36,f72e8376
F-003,F,39,dfc36169
F-004,F,41,628c8339
F-005,F,36,b6813b9e
F-006,F,33,7ac50e5f
F-007,F,33,97af714b
F-008,F,39,57b5a256
F-009,F,39,e047ca57
F-010,F,42,372a7da4
