mode,beam,depth_count,mean_var_o1,mean_var_o2,median_var_o1,median_var_o2,mean_unique_o1,mean_unique_o2,mad0_o1_ratio,mad0_o2_ratio,target_pass
objective_only,5,50,0.1387671169555143,0.06978426655184139,0.15910205154909446,0.0755752456634885,12.02,12.06,0.02,0.02,True
objective_only,8,50,0.13443262332417774,0.08175531385101835,0.1509042077106033,0.08940993152235807,15.84,16.04,0.02,0.02,True
objective_only,12,50,0.1321637691008363,0.07453071934654033,0.15243259807129356,0.08527038171241658,24.36,25.06,0.02,0.02,True
with_memory_v6_1,5,50,0.14458541378375792,0.06530042357209667,0.16624737611491353,0.07136234157649562,42.92,68.72,0.02,0.02,True
with_memory_v6_1,8,50,0.14372376370721066,0.0839011378761981,0.1620831761058206,0.09216756060440104,70.88,105.16,0.02,0.02,True
with_memory_v6_1,12,50,0.1437591919148612,0.07075722446701845,0.16557457815764226,0.07849368786499311,112.64,170.9,0.02,0.02,True
