depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us
22,0.342121333,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
23,0.332121342,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
24,0.322121352,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
25,0.312121332,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
26,0.302121341,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
27,0.292121351,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
28,0.282121330,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
29,0.272121340,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
30,0.262121350,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
31,0.252121329,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
32,0.242121339,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
33,0.232121348,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
34,0.222121343,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
35,0.212121338,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
36,0.202121347,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
37,0.192121342,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
38,0.182121336,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
