depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected,entropy_per_depth,unique_category_count_per_depth,pareto_front_size_per_depth,mean_nn_dist,pareto_spacing,pareto_hv_2d,field_extract_us,field_score_us,field_aggregate_us,field_total_us,norm_median_0,norm_median_1,norm_median_2,norm_median_3,norm_mad_0,norm_mad_1,norm_mad_2,norm_mad_3,median_nn_dist_all_depth,collapse_flag,normalization_mode,unique_norm_vec_count,norm_dim_mad_zero_count,mean_nn_dist_raw,mean_nn_dist_norm,pareto_spacing_raw,pareto_spacing_norm,distance_calls,nn_distance_calls,weak_dim_count,effective_dim_count
1,0.495717257,-0.004282756,0.000000000,0.000000000,0.000000000,0,1.000000000,3,1.548692107,2.625177622,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,15,"ConstraintPropagation:2|Cost:1|Performance:1|Refactor:4|Reliability:3|Structural:4",1.656551123,6,3,733.584533691,1270.605712891,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.043268725,0.500000000,0.996079981,0.000000000,0.006603669,0.000000000,0.000000000,59.298568726,false,"global_robust",3,3,3.194700956,733.584533691,5.533384323,1270.605712891,27,12,2,3
2,0.491517872,-0.004199362,0.000000000,0.000000000,0.000000000,0,1.000000000,7,2.104417086,1.722563505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,47,"ConstraintPropagation:6|Cost:3|Performance:3|Refactor:14|Reliability:9|Structural:12",1.639872432,6,7,257.894500732,441.114349365,0.288328648,0.000000000,0.000000000,0.000000000,0.000000000,0.862749994,0.037716039,0.555997312,0.996079981,0.014550000,0.037716039,0.284146607,0.000600000,59.298568726,false,"global_robust",7,0,0.419884324,257.894500732,0.717528105,441.114349365,189,84,0,4
3,0.487531245,-0.003986626,0.000000000,0.000000000,0.000000000,0,1.000000000,11,1.970791817,0.092760444,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,81,"ConstraintPropagation:8|Cost:5|Performance:5|Refactor:28|Reliability:15|Structural:20",1.597325206,6,11,231.114379883,347.345306396,0.314392447,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.809375405,0.996079981,0.014550000,0.000000000,0.190624610,0.000600000,59.298568726,false,"global_robust",11,1,1.675521493,231.114379883,3.035346746,347.345306396,495,220,1,4
4,0.483733624,-0.003797644,0.000000000,0.000000000,0.000000000,0,1.000000000,12,6.299348354,0.844915092,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,78,"ConstraintPropagation:6|Cost:4|Performance:5|Refactor:28|Reliability:15|Structural:20",1.559528708,6,12,223.051971436,358.895843506,0.388403744,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.898108482,0.996159971,0.022671429,0.000000000,0.101891533,0.000600000,59.298568726,false,"global_robust",12,1,2.272227526,223.051971436,5.841165066,358.895843506,594,264,1,4
5,0.479955852,-0.003777774,0.000000000,0.000000000,0.000000000,0,1.000000000,5,0.688276947,1.812716842,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,76,"ConstraintPropagation:7|Cost:3|Performance:5|Refactor:28|Reliability:15|Structural:18",1.555554867,6,5,178.265335083,165.363525391,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.929302514,0.996159971,0.029100001,0.000000000,0.070697471,0.000680000,59.298568726,false,"global_robust",5,1,0.880516529,178.265335083,0.920874357,165.363525391,90,40,1,4
6,0.476085961,-0.003869873,0.000000000,0.000000000,0.000000000,0,1.000000000,4,4.957192421,1.918195844,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,65,"ConstraintPropagation:7|Cost:3|Performance:4|Refactor:24|Reliability:13|Structural:14",1.573974609,6,4,1569.690673828,2671.149902344,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.889707148,0.000000000,0.944969475,0.996079981,0.026957143,0.000000000,0.055030547,0.000680000,59.298568726,false,"global_robust",4,1,3.524756432,1569.690673828,5.607244015,2671.149902344,54,24,1,4
7,0.472181350,-0.003904611,0.000000000,0.000000000,0.000000000,0,1.000000000,2,0.010982849,1.672714472,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,55,"ConstraintPropagation:6|Cost:3|Performance:3|Refactor:20|Reliability:11|Structural:12",1.580922246,6,2,14.524801254,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.940820634,0.996079981,0.029999999,0.000000000,0.059179366,0.001120000,59.298568726,false,"global_robust",2,1,1.662647724,14.524801254,0.000000000,0.000000000,9,4,1,4
8,0.472715616,0.000534264,0.000000000,0.000000000,0.000000000,0,1.000000000,4,0.426833242,1.415495872,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,2,8,"Refactor:4|Reliability:4",0.693147182,2,4,41.772800446,2.600356817,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.940820634,0.996079981,0.029999999,0.000000000,0.059179366,0.001120000,59.298568726,false,"global_robust",4,1,3.145552397,41.772800446,0.255458981,2.600356817,54,24,1,4
9,0.470035583,-0.002680037,0.000000000,0.000000000,0.000000000,0,1.000000000,7,8902.886718750,0.844651043,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,36,"ConstraintPropagation:2|Performance:2|Refactor:16|Reliability:10|Structural:6",1.336007357,5,7,1361.083007812,3589.446777344,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.933850765,0.996079981,0.038649999,0.000000000,0.066149220,0.001200000,59.298568726,false,"global_robust",7,1,95.869262695,1361.083007812,252.170455933,3589.446777344,189,84,1,4
10,0.467348129,-0.002687465,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.107167386,1.343413711,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,46,"ConstraintPropagation:3|Performance:3|Refactor:22|Reliability:11|Structural:7",1.337492943,5,7,6.968062401,9.145941734,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.936458468,0.996159971,0.038649999,0.000000000,0.063541539,0.001280000,59.298568726,false,"global_robust",7,1,0.608280063,6.968062401,0.771329641,9.145941734,189,84,1,4
11,0.465087116,-0.002260995,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.162332520,0.884518981,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,41,"ConstraintPropagation:3|Performance:3|Refactor:22|Reliability:10|Structural:3",1.252199054,5,7,59.630008698,146.230300903,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.936458468,0.996159971,0.038649999,0.000000000,0.063541539,0.001280000,59.298568726,false,"global_robust",7,1,0.638783932,59.630008698,0.814712822,146.230300903,189,84,1,4
12,0.462826133,-0.002260995,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.159002453,0.880722761,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,41,"ConstraintPropagation:3|Performance:3|Refactor:22|Reliability:10|Structural:3",1.252199054,5,7,59.284721375,146.355926514,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.936458468,0.996159971,0.038649999,0.000000000,0.063541539,0.001280000,59.298568726,false,"global_robust",7,1,0.615708530,59.284721375,0.791513503,146.355926514,189,84,1,4
13,0.460565120,-0.002260995,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.159168497,0.876915634,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,41,"ConstraintPropagation:3|Performance:3|Refactor:22|Reliability:10|Structural:3",1.252199054,5,7,59.288597107,146.354568481,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.936458468,0.996159971,0.038649999,0.000000000,0.063541539,0.001280000,59.298568726,false,"global_robust",7,1,0.615917027,59.288597107,0.791704655,146.354568481,189,84,1,4
14,0.458304137,-0.002260995,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.162508920,0.873096526,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,41,"ConstraintPropagation:3|Performance:3|Refactor:22|Reliability:10|Structural:3",1.252199054,5,7,59.613212585,146.236557007,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.936458468,0.996159971,0.038649999,0.000000000,0.063541539,0.001280000,59.298568726,false,"global_robust",7,1,0.637524724,59.613212585,0.813358545,146.236557007,189,84,1,4
15,0.456043154,-0.002260995,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.159502208,0.869266868,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,41,"ConstraintPropagation:3|Performance:3|Refactor:22|Reliability:10|Structural:3",1.252199054,5,7,59.296535492,146.351806641,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.936458468,0.996159971,0.038649999,0.000000000,0.063541539,0.001280000,59.298568726,false,"global_robust",7,1,0.616341233,59.296535492,0.792094052,146.351806641,189,84,1,4
16,0.453782141,-0.002260995,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.159669906,0.865424395,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,41,"ConstraintPropagation:3|Performance:3|Refactor:22|Reliability:10|Structural:3",1.252199054,5,7,59.300601959,146.350387573,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.936458468,0.996159971,0.038649999,0.000000000,0.063541539,0.001280000,59.298568726,false,"global_robust",7,1,0.616557062,59.300601959,0.792292356,146.350387573,189,84,1,4
17,0.451521158,-0.002260995,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.159838229,0.861568213,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,41,"ConstraintPropagation:3|Performance:3|Refactor:22|Reliability:10|Structural:3",1.252199054,5,7,59.304733276,146.348937988,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.936458468,0.996159971,0.038649999,0.000000000,0.063541539,0.001280000,59.298568726,false,"global_robust",7,1,0.616775513,59.304733276,0.792493224,146.348937988,189,84,1,4
