depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected,entropy_per_depth,unique_category_count_per_depth,pareto_front_size_per_depth,mean_nn_dist,pareto_spacing,pareto_hv_2d,field_extract_us,field_score_us,field_aggregate_us,field_total_us,norm_median_0,norm_median_1,norm_median_2,norm_median_3,norm_mad_0,norm_mad_1,norm_mad_2,norm_mad_3,median_nn_dist_all_depth,collapse_flag,normalization_mode,unique_norm_vec_count,norm_dim_mad_zero_count,mean_nn_dist_raw,mean_nn_dist_norm,pareto_spacing_raw,pareto_spacing_norm,distance_calls,nn_distance_calls,weak_dim_count,effective_dim_count
1,0.495717257,-0.004282756,0.000000000,0.000000000,0.000000000,0,1.000000000,3,1.537959456,2.163959503,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,15,"ConstraintPropagation:2|Cost:1|Performance:1|Refactor:4|Reliability:3|Structural:4",1.656551123,6,3,725.372375488,1256.381835938,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.069622472,0.500000000,0.996079981,0.000000000,0.004445806,0.000000000,0.000000000,0.000001000,false,"global_robust",3,3,3.180288792,725.372375488,5.508421898,1256.381835938,27,12,2,3
2,0.491517872,-0.004199362,0.000000000,0.000000000,0.000000000,0,1.000000000,10,1.664735913,0.514455378,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,47,"ConstraintPropagation:6|Cost:3|Performance:3|Refactor:14|Reliability:9|Structural:12",1.639872432,6,10,94.489913940,298.803314209,0.288328648,0.000000000,0.000000000,0.000000000,0.000000000,0.862749994,0.065178096,0.792281032,0.996079981,0.014550000,0.040742826,0.207718983,0.000600000,0.000001000,false,"global_robust",10,0,0.141901851,94.489913940,0.448733032,298.803314209,405,180,0,4
3,0.487531245,-0.003986626,0.000000000,0.000000000,0.000000000,0,1.000000000,21,1.237427592,0.075507872,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,81,"ConstraintPropagation:8|Cost:5|Performance:5|Refactor:28|Reliability:15|Structural:20",1.597325206,6,21,147.410003662,369.522399902,0.856880069,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,1.000000000,0.996079981,0.014550000,0.000000000,0.000000000,0.000600000,0.000001000,false,"global_robust",21,2,0.654184818,147.410003662,2.244342566,369.522399902,1890,840,2,4
4,0.483688086,-0.003843184,0.000000000,0.000000000,0.000000000,0,1.000000000,12,5.441915989,0.591003478,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,80,"ConstraintPropagation:7|Cost:4|Performance:5|Refactor:28|Reliability:15|Structural:21",1.568636775,6,12,139.379898071,254.392593384,0.893342674,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,1.000000000,0.996079981,0.028650001,0.000000000,0.000000000,0.000680000,0.000001000,false,"global_robust",12,2,1.743203759,139.379898071,5.048491955,254.392593384,594,264,2,4
5,0.479919136,-0.003768948,0.000000000,0.000000000,0.000000000,0,1.000000000,8,0.684022665,1.512918234,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,77,"ConstraintPropagation:7|Cost:3|Performance:5|Refactor:28|Reliability:15|Structural:19",1.553789616,6,8,40.859603882,85.528404236,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.987025380,0.996119976,0.029999999,0.000000000,0.012974623,0.000720000,0.000001000,false,"global_robust",8,1,0.382912278,40.859603882,0.534901023,85.528404236,252,112,1,4
6,0.476048499,-0.003870637,0.000000000,0.000000000,0.000000000,0,1.000000000,9,27.710063934,1.554332495,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,64,"ConstraintPropagation:7|Cost:3|Performance:4|Refactor:24|Reliability:13|Structural:13",1.574127436,6,9,122.934455872,231.519042969,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.899971426,0.000000000,0.988761604,0.996079981,0.035349999,0.000000000,0.011238407,0.001120000,0.000001000,false,"global_robust",9,1,0.386944056,122.934455872,0.597985446,231.519042969,324,144,1,4
7,0.472166806,-0.003881677,0.000000000,0.000000000,0.000000000,0,1.000000000,11,420.053283691,0.918896794,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,71,"ConstraintPropagation:7|Cost:4|Performance:4|Refactor:26|Reliability:14|Structural:16",1.576335430,6,11,623.764709473,1217.746215820,0.940559447,0.000000000,0.000000000,0.000000000,0.000000000,0.907750010,0.000000000,0.989620328,0.995480001,0.038199998,0.000000000,0.010379698,0.001200000,0.000001000,false,"global_robust",11,1,18.165622711,623.764709473,51.298530579,1217.746215820,495,220,1,4
8,0.468442053,-0.003724771,0.000000000,0.000000000,0.000000000,0,1.000000000,5,0.525017560,1.727735758,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,68,"ConstraintPropagation:6|Cost:3|Performance:4|Refactor:26|Reliability:14|Structural:15",1.544954181,6,5,180.837005615,71.480613708,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.988550723,0.995480001,0.034814287,0.000000000,0.011449264,0.001200000,0.000001000,false,"global_robust",5,1,1.308013320,180.837005615,0.646012485,71.480613708,90,40,1,4
9,0.464885503,-0.003556539,0.000000000,0.000000000,0.000000000,0,1.000000000,5,3.954784632,1.479184866,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,53,"ConstraintPropagation:5|Cost:2|Performance:3|Refactor:22|Reliability:12|Structural:9",1.511307836,6,5,295.390960693,233.581481934,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.913317859,0.000000000,0.987025380,0.995480001,0.034867857,0.000000000,0.012974623,0.001200000,0.000001000,false,"global_robust",5,1,1.110470176,295.390960693,0.243564412,233.581481934,90,40,1,4
10,0.461108565,-0.003776942,0.000000000,0.000000000,0.000000000,0,1.000000000,2,0.000000000,2.085501194,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,66,"ConstraintPropagation:7|Cost:3|Performance:4|Refactor:26|Reliability:13|Structural:13",1.555388451,6,2,0.000001000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.932114303,0.000000000,0.981493473,0.995400012,0.023664286,0.000000000,0.018506544,0.001200000,0.000001000,false,"global_robust",2,1,0.000000000,0.000001000,0.000000000,0.000000000,9,4,1,4
