depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected,entropy_per_depth,unique_category_count_per_depth,pareto_front_size_per_depth,mean_nn_dist,pareto_spacing,pareto_hv_2d,field_extract_us,field_score_us,field_aggregate_us,field_total_us,norm_median_0,norm_median_1,norm_median_2,norm_median_3,norm_mad_0,norm_mad_1,norm_mad_2,norm_mad_3,median_nn_dist_all_depth,collapse_flag,normalization_mode,unique_norm_vec_count,norm_dim_mad_zero_count,mean_nn_dist_raw,mean_nn_dist_norm,pareto_spacing_raw,pareto_spacing_norm,distance_calls,nn_distance_calls,weak_dim_count,effective_dim_count
1,0.495717257,-0.004282756,0.000000000,0.000000000,0.000000000,0,1.000000000,3,0.221662253,1.280335665,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,15,"ConstraintPropagation:2|Cost:1|Performance:1|Refactor:4|Reliability:3|Structural:4",1.656551123,6,3,448.628753662,777.047790527,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.060904443,0.500000000,0.996079981,0.000000000,0.011498965,0.000000000,0.000000000,189.347167969,false,"global_robust",3,3,1.091217995,448.628753662,1.890045166,777.047790527,27,12,2,3
2,0.491517872,-0.004199362,0.000000000,0.000000000,0.000000000,0,1.000000000,11,1.069013119,1.213082671,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,47,"ConstraintPropagation:6|Cost:3|Performance:3|Refactor:14|Reliability:9|Structural:12",1.639872432,6,11,2.747191429,4.864904881,0.788328648,0.000000000,0.000000000,0.000000000,0.000000000,0.862749994,0.064348280,0.500000000,0.996079981,0.014550000,0.017725840,0.351185650,0.000600000,189.347167969,false,"global_robust",11,0,0.932965755,2.747191429,2.438430786,4.864904881,495,220,0,4
3,0.487524778,-0.003993093,0.000000000,0.000000000,0.000000000,0,1.000000000,17,1.237371922,-0.315413594,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,132,"ConstraintPropagation:14|Cost:8|Performance:8|Refactor:46|Reliability:24|Structural:32",1.598618507,6,17,176.892868042,394.443511963,0.314392447,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.832417965,0.996079981,0.014550000,0.000000000,0.167582020,0.000600000,189.347167969,false,"global_robust",17,1,0.744356811,176.892868042,2.499165297,394.443511963,1224,544,1,4
4,0.483745217,-0.003779573,0.000000000,0.000000000,0.000000000,0,1.000000000,10,1.689892054,0.503019750,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,126,"ConstraintPropagation:9|Cost:7|Performance:8|Refactor:46|Reliability:24|Structural:32",1.555914640,6,10,453.267303467,481.595764160,0.888403654,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.887215078,0.996159971,0.014550000,0.000000000,0.112784937,0.000600000,189.347167969,false,"global_robust",10,1,1.583517194,453.267303467,3.150235415,481.595764160,405,180,1,4
5,0.480057597,-0.003687627,0.000000000,0.000000000,0.000000000,0,1.000000000,4,0.344279885,2.129405975,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,121,"ConstraintPropagation:11|Cost:4|Performance:8|Refactor:46|Reliability:24|Structural:28",1.537525415,6,4,302.391815186,392.415069580,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.930529118,0.996159971,0.029100001,0.000000000,0.069470905,0.000680000,189.347167969,false,"global_robust",4,1,1.136457920,302.391815186,1.501386166,392.415069580,54,24,1,4
6,0.476821899,-0.003235683,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.002382380,1.108146191,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,39,"ConstraintPropagation:3|Cost:1|Performance:3|Refactor:18|Reliability:9|Structural:5",1.447136641,6,6,122.593627930,300.291839600,0.499998778,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.934492171,0.996680021,0.029100001,0.000000000,0.065507844,0.000760000,189.347167969,false,"global_robust",6,1,0.197428077,122.593627930,0.483598053,300.291839600,135,60,1,4
7,0.474675238,-0.002146681,0.000000000,0.000000000,0.000000000,0,1.000000000,2,299.376434326,1.930617213,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,45,"ConstraintPropagation:3|Performance:3|Refactor:24|Reliability:12|Structural:3",1.229336262,5,2,3366.384033203,0.000000000,0.999999881,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.939941764,0.996760011,0.029999999,0.000000000,0.060058244,0.000680000,189.347167969,false,"global_robust",2,1,84.912307739,3366.384033203,0.000000000,0.000000000,9,4,1,4
8,0.471315801,-0.003359416,0.000000000,0.000000000,0.000000000,0,1.000000000,7,30869.451171875,0.154557809,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,19,"ConstraintPropagation:1|Cost:1|Performance:1|Refactor:8|Reliability:5|Structural:3",1.471883297,6,7,1622.436279297,2077.906005859,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.889707148,0.010119962,0.942780256,0.996760011,0.026957143,0.010119962,0.057219759,0.000760000,189.347167969,false,"global_robust",7,0,27.731971741,1622.436279297,61.360443115,2077.906005859,189,84,0,4
9,0.468114287,-0.003201514,0.000000000,0.000000000,0.000000000,0,1.000000000,2,0.491433859,3.034001827,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,74,"ConstraintPropagation:5|Cost:2|Performance:5|Refactor:34|Reliability:17|Structural:11",1.440302849,6,2,1973.884643555,0.000000000,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.889707148,0.018849906,0.944452405,0.996840000,0.032367855,0.018849906,0.055547569,0.000760000,189.347167969,false,"global_robust",2,0,3.648087263,1973.884643555,0.000000000,0.000000000,9,4,0,4
10,0.465182811,-0.002931472,0.000000000,0.000000000,0.000000000,0,1.000000000,6,33945.199218750,0.298209906,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,16,"ConstraintPropagation:1|Cost:1|Performance:1|Refactor:8|Reliability:4|Structural:1",1.386294365,6,6,550.522766113,867.372985840,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.899971426,0.025269147,0.944423258,0.996840000,0.037221428,0.025269147,0.055576723,0.000760000,189.347167969,false,"global_robust",6,0,17.957418442,550.522766113,41.198040009,867.372985840,135,60,0,4
