depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected,entropy_per_depth,unique_category_count_per_depth,pareto_front_size_per_depth,mean_nn_dist,pareto_spacing,pareto_hv_2d,field_extract_us,field_score_us,field_aggregate_us,field_total_us,norm_median_0,norm_median_1,norm_median_2,norm_median_3,norm_mad_0,norm_mad_1,norm_mad_2,norm_mad_3,median_nn_dist_all_depth,collapse_flag,normalization_mode,unique_norm_vec_count,norm_dim_mad_zero_count,mean_nn_dist_raw,mean_nn_dist_norm,pareto_spacing_raw,pareto_spacing_norm,distance_calls,nn_distance_calls,weak_dim_count,effective_dim_count
1,0.495717257,-0.004282756,0.000000000,0.000000000,0.000000000,0,1.000000000,3,1.132225633,2.377793789,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,15,"ConstraintPropagation:2|Cost:1|Performance:1|Refactor:4|Reliability:3|Structural:4",1.656551123,6,3,326.289276123,565.149597168,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.052311301,0.500000000,0.996079981,0.000000000,0.007287379,0.000000000,0.000000000,178.642868042,false,"global_robust",3,3,2.601167440,326.289276123,4.505353928,565.149597168,27,12,2,3
2,0.491517872,-0.004199362,0.000000000,0.000000000,0.000000000,0,1.000000000,11,1.743233681,1.754203916,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,47,"ConstraintPropagation:6|Cost:3|Performance:3|Refactor:14|Reliability:9|Structural:12",1.639872432,6,11,91.533905029,283.683959961,0.788328409,0.000000000,0.000000000,0.000000000,0.000000000,0.862749994,0.052311301,0.792281032,0.996079981,0.014550000,0.015397692,0.207718983,0.000600000,178.642868042,false,"global_robust",11,0,0.314920306,91.533905029,0.707878709,283.683959961,495,220,0,4
3,0.487550676,-0.003967218,0.000000000,0.000000000,0.000000000,0,1.000000000,24,0.912938535,-0.342241883,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,131,"ConstraintPropagation:13|Cost:8|Performance:8|Refactor:46|Reliability:24|Structural:32",1.593443513,6,24,129.400283813,350.186126709,0.314392447,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.922882497,0.996079981,0.014550000,0.000000000,0.077117480,0.000600000,178.642868042,false,"global_robust",24,1,0.528862178,129.400283813,2.113418102,350.186126709,2484,1104,1,4
4,0.483771086,-0.003779573,0.000000000,0.000000000,0.000000000,0,1.000000000,13,6.359172344,0.973805249,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,126,"ConstraintPropagation:9|Cost:7|Performance:8|Refactor:46|Reliability:24|Structural:32",1.555914640,6,13,164.660110474,404.339111328,0.388403744,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.922882497,0.996159971,0.014550000,0.000000000,0.077117480,0.000600000,178.642868042,false,"global_robust",13,1,1.668619156,164.660110474,5.698037624,404.339111328,702,312,1,4
5,0.479993820,-0.003777268,0.000000000,0.000000000,0.000000000,0,1.000000000,20,10.536033630,1.871952891,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,124,"ConstraintPropagation:10|Cost:6|Performance:8|Refactor:46|Reliability:24|Structural:30",1.555453658,6,20,132.777786255,306.119476318,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.945267618,0.996159971,0.029100001,0.000000000,0.054732397,0.000600000,178.642868042,false,"global_robust",20,1,0.314453125,132.777786255,0.703025997,306.119476318,1710,760,1,4
6,0.476153761,-0.003840051,0.000000000,0.000000000,0.000000000,0,1.000000000,10,0.717930675,1.995552063,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,112,"ConstraintPropagation:10|Cost:6|Performance:7|Refactor:42|Reliability:22|Structural:25",1.568010211,6,10,300.170471191,291.925811768,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.899971426,0.000000000,0.956096351,0.996159971,0.023228571,0.000000000,0.043903630,0.000680000,178.642868042,false,"global_robust",10,1,0.607515752,300.170471191,0.675753951,291.925811768,405,180,1,4
7,0.472482055,-0.003671720,0.000000000,0.000000000,0.000000000,0,1.000000000,14,0.435993016,1.771260858,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,107,"ConstraintPropagation:9|Cost:5|Performance:7|Refactor:44|Reliability:21|Structural:21",1.534344077,6,14,98.151290894,137.121520996,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.966410935,0.996159971,0.029999999,0.000000000,0.033589046,0.000680000,178.642868042,false,"global_robust",14,1,0.207395464,98.151290894,0.309879273,137.121520996,819,364,1,4
8,0.468764663,-0.003717378,0.000000000,0.000000000,0.000000000,0,1.000000000,9,0.747644067,2.419847012,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,115,"ConstraintPropagation:10|Cost:6|Performance:8|Refactor:48|Reliability:21|Structural:22",1.543475628,6,9,233.801071167,460.040100098,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.969084263,0.996159971,0.034814287,0.000000000,0.030915724,0.000760000,178.642868042,false,"global_robust",9,1,0.815930903,233.801071167,1.786372662,460.040100098,324,144,1,4
9,0.464960039,-0.003804633,0.000000000,0.000000000,0.000000000,0,1.000000000,13,2.073791981,2.039469719,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,116,"ConstraintPropagation:9|Cost:7|Performance:7|Refactor:44|Reliability:23|Structural:26",1.560926557,6,13,113.624389648,303.177642822,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.916042864,0.000000000,0.974294186,0.996159971,0.037950002,0.000000000,0.025705827,0.000760000,178.642868042,false,"global_robust",13,1,0.289973497,113.624389648,0.594561040,303.177642822,702,312,1,4
10,0.461123228,-0.003836816,0.000000000,0.000000000,0.000000000,0,1.000000000,13,1.390636683,1.885495782,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,110,"ConstraintPropagation:10|Cost:7|Performance:7|Refactor:44|Reliability:21|Structural:21",1.567363262,6,13,100.603340149,168.581527710,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.925499976,0.000000000,0.976891100,0.996079981,0.029999999,0.000000000,0.023108887,0.000840000,178.642868042,false,"global_robust",13,1,0.275283277,100.603340149,0.471606493,168.581527710,702,312,1,4
11,0.457421929,-0.003701287,0.000000000,0.000000000,0.000000000,0,1.000000000,13,0.123458192,1.931732059,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,103,"ConstraintPropagation:9|Cost:6|Performance:7|Refactor:44|Reliability:20|Structural:17",1.540257454,6,13,54.684188843,121.351043701,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.925499976,0.000000000,0.976891100,0.996079981,0.029999999,0.000000000,0.023108887,0.000840000,178.642868042,false,"global_robust",13,1,0.344298929,54.684188843,0.780769348,121.351043701,702,312,1,4
12,0.454132348,-0.003289591,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.466290683,2.004351139,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,89,"ConstraintPropagation:7|Cost:5|Performance:7|Refactor:44|Reliability:17|Structural:9",1.457918167,6,7,86.648635864,229.250732422,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.925499976,0.000000000,0.976891100,0.996079981,0.029999999,0.000000000,0.023108887,0.000840000,178.642868042,false,"global_robust",7,1,0.141978309,86.648635864,0.375639290,229.250732422,189,84,1,4
13,0.450934201,-0.003198140,0.000000000,0.000000000,0.000000000,0,1.000000000,10,23.467596054,7.459031582,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,68,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:34|Reliability:14|Structural:5",1.439628005,6,10,380.210235596,698.277648926,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.925499976,0.000000000,0.976891100,0.996079981,0.029999999,0.000000000,0.023108887,0.000840000,178.642868042,false,"global_robust",10,1,4.390084743,380.210235596,11.502579689,698.277648926,405,180,1,4
14,0.447506726,-0.003427478,0.000000000,0.000000000,0.000000000,0,1.000000000,13,0.237984285,1.602990031,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,91,"ConstraintPropagation:7|Cost:7|Performance:7|Refactor:44|Reliability:17|Structural:9",1.485495687,6,13,233.362472534,394.599090576,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.925499976,0.000000000,0.976891100,0.996079981,0.029999999,0.000000000,0.023108887,0.000840000,178.642868042,false,"global_robust",13,1,0.481257439,233.362472534,0.788532436,394.599090576,702,312,1,4
15,0.444427311,-0.003079430,0.000000000,0.000000000,0.000000000,0,1.000000000,13,0.349353254,1.546065092,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,85,"ConstraintPropagation:7|Cost:4|Performance:7|Refactor:44|Reliability:16|Structural:7",1.415885925,6,13,186.705810547,291.494384766,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.925499976,0.000000000,0.976891100,0.996079981,0.029999999,0.000000000,0.023108887,0.000840000,178.642868042,false,"global_robust",13,1,0.416761845,186.705810547,0.654439390,291.494384766,702,312,1,4
16,0.441347867,-0.003079430,0.000000000,0.000000000,0.000000000,0,1.000000000,3,0.346620291,1.926365852,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,85,"ConstraintPropagation:7|Cost:4|Performance:7|Refactor:44|Reliability:16|Structural:7",1.415885925,6,3,572.883728027,992.263793945,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.925499976,0.000000000,0.976891100,0.996079981,0.029999999,0.000000000,0.023108887,0.000840000,178.642868042,false,"global_robust",3,1,1.016513824,572.883728027,1.760653615,992.263793945,27,12,1,4
